"Geneid","GroupA_1","GroupA_2","GroupA_3","GroupB_1","GroupB_2","GroupB_3","foldchange","pvalue"
"FNDC10",8,8,4,16,6,28,2.880480987,2.6767e-10
"CDK11A",6691,8880,7537,11059,8171,12129,2.145231352,1.86747e-15
"KCNAB2",182,273,164,294,238,318,1.505022048,0.002192024
"AL031847.1",25023,32273,31347,41432,30469,54230,2.102924591,2.09887e-06
"HES2",178,201,186,320,253,344,6.205429841,2.83932e-18
"FAM43B",52,38,60,78,52,92,1.722150443,3.70761e-07
"HSPG2",1834,2370,1627,2516,2218,2852,4.643619868,0.002682185
"CRYBG2",269,327,220,394,332,384,1.62697556,0.000129103
"RPA2",644,792,748,994,692,1214,2.172011269,5.25777e-08
"EPB41",2205,3160,2857,3716,2633,4778,5.104943577,7.2954e-13
"NKAIN1",7,18,12,23,6,23,9.28855659,1.69869e-09
"ZMYM1",182,248,222,340,209,383,9.280150828,4.23976e-20
"PSMB2",440,599,509,794,557,899,1.853137625,9.2956e-06
"POU3F1",0,0,0,2,4,2,1.534511727,0.001245461
"ZMPSTE24",2088,2650,2250,3194,2426,4165,2.858619169,0.000216503
"PIK3R3",746,1032,816,1118,919,1512,1.861147651,7.78714e-06
"TXNDC12",1081,1500,1484,1877,1386,2484,4.425941978,1.91091e-17
"ZYG11A",0,0,2,2,0,0,1.776010016,5.77687e-15
"USP24",2712,3637,3126,4690,3349,5094,2.026775077,1.22885e-14
"ROR1",60,102,63,100,61,85,3.962710346,4.0238e-20
"AK4",854,1290,1140,1499,1080,1990,5.256850805,4.3586e-08
"SYDE2",54,49,62,91,38,81,1.905104759,1.6121e-06
"PKN2",1666,2133,1930,2650,2038,2999,1.530092253,2.13373e-07
"PALMD",7225,9574,7780,11408,8759,13183,1.546520792,1.32043e-09
"NTNG1",40,27,20,84,30,34,1.730782343,0.004642566
"NBPF4",0,0,0,2,0,0,1.791972866,0.000139172
"AKNAD1",43,58,51,94,54,71,7.857428881,2.34787e-09
"SLC6A17",0,7,0,0,2,0,1.65564543,0.001187994
"CAPZA1",1853,2416,2051,2892,2200,3365,10.73885024,2.95077e-05
"SPRR2D",2,2,4,0,2,0,2.464256788,1.31039e-06
"CRTC2",174,210,196,249,210,380,1.524632722,9.93221e-08
"DAP3",3357,4419,3474,5273,4048,5811,1.828679394,6.14765e-08
"PMF1-BGLAP",458,712,663,866,615,1169,2.054450933,9.11881e-10
"RRNAD1",79,125,126,174,155,207,2.330329987,0.000674911
"IGSF8",554,820,681,955,702,1123,2.923448493,0.001279284
"PEA15",1389,1932,1430,2347,1828,2407,3.07954108,0.004295849
"PBX1",4,6,2,6,8,4,2.782178325,0.000610301
"ALDH9A1",506,669,527,729,576,885,1.981095065,0.000107786
"SELL",0,2,2,2,0,4,4.997858676,0.006393092
"FAM163A",0,0,0,0,0,4,2.606265367,1.61125e-07
"COLGALT2",442,509,512,549,416,818,2.628258862,2.71487e-11
"GPR37L1",0,0,0,0,0,3,2.674370027,4.33417e-08
"SPATA45",0,5,0,0,2,1,1.734952258,1.49734e-09
"CAPN2",3840,4872,2569,5459,4542,4277,1.502325959,0.001251592
"SPRTN",419,523,413,579,477,771,3.12721977,5.6722e-09
"EFCAB2",679,875,900,1218,805,1483,3.89645782,4.22639e-06
"OR6F1",0,0,0,0,2,0,2.658506712,1.62689e-06
"ANKRD30A",0,0,2,2,0,0,1.595831363,1.03028e-08
"ARHGAP22",4,6,0,8,6,2,4.970722926,4.00489e-23
"EIF4EBP2",806,1142,928,1377,948,1706,1.550422679,0.007136626
"P4HA1",1003,1842,1580,1637,1319,2187,1.581439624,0.000116228
"SFTPD",0,0,0,0,0,2,1.592888082,0.001225678
"MMRN2",0,6,2,2,0,0,1.744603369,8.7509e-20
"GLUD1",4091,6488,5959,7521,5145,10431,1.512916852,0.004791807
"KIF20B",2606,3609,3750,5447,3272,6172,2.182598753,3.70906e-06
"SLIT1",4,6,2,10,2,3,1.965904315,6.86653e-10
"PGAM1",2793,3706,3240,4334,3240,4822,1.891189813,1.06722e-07
"SFXN3",683,863,570,1008,796,1069,1.821777879,4.56574e-16
"FBXW4",596,796,865,1146,676,1226,2.687796172,2.69616e-07
"SMNDC1",2015,2522,2228,3085,2499,3710,1.664621948,4.24693e-08
"ADRB1",2,0,0,4,0,0,3.214909571,1.8943e-05
"DMBT1",0,0,0,2,0,0,1.502336016,4.04433e-06
"CYP2E1",4,2,4,0,2,11,1.816392142,7.68284e-05
"LMNTD2",21,5,4,8,6,12,4.997858676,0.006393092
"DRD4",0,0,6,2,1,4,1.899892869,1.64432e-10
"BRSK2",32,58,32,37,28,65,2.53256752,8.67712e-05
"ILK",1493,1992,1527,2236,1823,2683,2.285644371,2.09237e-08
"HPS5",668,853,671,930,839,1062,1.7570337,1.06336e-06
"C11orf91",3,1,0,3,6,16,1.666647439,1.70005e-09
"CAPRIN1",9307,12361,10558,14891,11217,17015,1.501885205,2.30837e-05
"CAT",959,1212,1137,1541,1169,1865,1.746336305,1.20922e-05
"OR9Q1",0,0,1,2,4,3,6.533732747,1.88385e-16
"OR5AN1",0,0,0,0,0,2,1.59634182,0.000215857
"AP002990.1",22540,30552,27731,37735,27344,47740,13.65282254,6.47615e-11
"C11orf98",3029,3900,3252,4622,3715,6497,5.057422142,0.001068612
"POLA2",147,172,134,272,172,297,7.161109554,2.87136e-13
"SPTBN2",1130,1498,866,1622,1355,1597,1.540031803,2.7806e-08
"DDX10",5831,7400,7073,10249,7384,11856,8.295946128,0.000700954
"NKAPD1",1923,2600,2221,3094,2397,3581,2.223456145,8.34855e-05
"IL10RA",0,0,0,2,0,2,2.282530055,2.92013e-05
"CHEK1",1050,1443,1314,1886,1277,2221,2.002367017,2.99172e-07
"WNT5B",4,4,4,2,0,4,1.887803538,0.009213888
"DCP1B",326,456,360,494,372,572,3.411968882,1.06679e-24
"AC068775.1",27,32,50,51,44,56,2.07427244,5.85243e-05
"TAS2R14",89,111,115,103,99,158,2.019114985,0.009134047
"GUCY2C",2,0,4,2,0,6,8.490528268,1.05674e-05
"C12orf60",28,23,28,22,27,38,1.86142915,2.46845e-08
"DDX11",997,1371,1169,1820,1212,1986,2.243246173,6.52778e-07
"ALG10B",86,142,88,128,86,138,1.741289493,0.000110333
"KMT2D",2894,3973,3185,4721,3488,5532,1.728072481,0.002120812
"PA2G4",14222,18274,16081,23778,17883,26518,3.613172034,2.8034e-06
"ARHGEF25",236,370,336,355,284,538,1.666280353,7.94906e-05
"HMGA2",3269,4415,3757,5712,4214,6416,1.854098569,0.003423805
"LYZ",14382,22196,21203,24712,17705,37377,5.304793188,5.0521e-15
"PTPRR",0,0,0,0,0,2,1.577448152,3.89292e-07
"TMCC3",2,2,0,2,0,4,1.93869906,0.000161425
"UHRF1BP1L",841,1201,1073,1346,1020,1755,1.947712709,1.75705e-05
"NT5DC3",218,292,196,325,220,312,1.783627123,0.009571636
"RFX4",1,5,0,2,1,0,1.561219159,9.61473e-10
"TRAFD1",466,662,516,767,646,855,2.096788072,1.70793e-08
"RHOF",214,283,266,384,325,509,2.165719618,0.00432459
"ABCB9",4019,5915,5749,7070,5276,9607,1.540080197,3.39792e-08
"PGAM5",581,761,731,1021,663,1134,1.984623076,2.50493e-09
