"Geneid","GroupA_1","GroupA_2","GroupA_3","GroupB_1","GroupB_2","GroupB_3","foldchange","pvalue"
"HES2",178,201,186,320,253,344,6.205429841,2.83932e-18
"HSPG2",1834,2370,1627,2516,2218,2852,4.643619868,0.002682185
"EPB41",2205,3160,2857,3716,2633,4778,5.104943577,7.2954e-13
"NKAIN1",7,18,12,23,6,23,9.28855659,1.69869e-09
"ZMYM1",182,248,222,340,209,383,9.280150828,4.23976e-20
"TXNDC12",1081,1500,1484,1877,1386,2484,4.425941978,1.91091e-17
"ROR1",60,102,63,100,61,85,3.962710346,4.0238e-20
"AK4",854,1290,1140,1499,1080,1990,5.256850805,4.3586e-08
"AKNAD1",43,58,51,94,54,71,7.857428881,2.34787e-09
"CAPZA1",1853,2416,2051,2892,2200,3365,10.73885024,2.95077e-05
"PEA15",1389,1932,1430,2347,1828,2407,3.07954108,0.004295849
"SELL",0,2,2,2,0,4,4.997858676,0.006393092
"SPRTN",419,523,413,579,477,771,3.12721977,5.6722e-09
"EFCAB2",679,875,900,1218,805,1483,3.89645782,4.22639e-06
"ARHGAP22",4,6,0,8,6,2,4.970722926,4.00489e-23
"ADRB1",2,0,0,4,0,0,3.214909571,1.8943e-05
"LMNTD2",21,5,4,8,6,12,4.997858676,0.006393092
"OR9Q1",0,0,1,2,4,3,6.533732747,1.88385e-16
"AP002990.1",22540,30552,27731,37735,27344,47740,13.65282254,6.47615e-11
"C11orf98",3029,3900,3252,4622,3715,6497,5.057422142,0.001068612
"POLA2",147,172,134,272,172,297,7.161109554,2.87136e-13
"DDX10",5831,7400,7073,10249,7384,11856,8.295946128,0.000700954
"DCP1B",326,456,360,494,372,572,3.411968882,1.06679e-24
"GUCY2C",2,0,4,2,0,6,8.490528268,1.05674e-05
"PA2G4",14222,18274,16081,23778,17883,26518,3.613172034,2.8034e-06
"LYZ",14382,22196,21203,24712,17705,37377,5.304793188,5.0521e-15
"C13orf42",0,0,0,2,0,0,3.033752188,8.22368e-11
"PSME2",4446,6682,5463,7717,5620,9685,17.42537423,2.53531e-16
"KHNYN",2550,3634,3008,4149,3184,4780,10.14158766,3.36881e-07
"PCNX4",1576,2091,1585,2384,1826,2723,3.218616171,0.00128011
"RDH12",32,88,42,54,54,86,3.037643311,1.57282e-05
"ZFYVE26",761,951,688,1081,893,1202,4.669746042,1.66357e-21
"TMEM121",2,30,32,25,18,46,3.833374994,0.001887669
"CCDC9B",2037,2405,1493,2897,2295,2600,3.577723434,1.02279e-07
"CCPG1",1914,2961,2260,3331,2774,3821,3.394035841,1.10418e-09
"DENND4A",1123,1489,1218,1747,1361,1971,7.839707516,5.91441e-07
"ZWILCH",577,683,704,1012,629,1177,3.145151729,0.000287197
"ADAMTS7",8,5,7,21,10,13,3.312115077,9.36946e-06
"TMED3",1018,1429,1305,1779,1328,2350,3.648766046,1.65417e-07
"IDH2",1612,2276,2017,2601,1918,3607,3.56167604,4.03453e-06
