category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Organismal Systems,Aging,hsa04213,Longevity regulating pathway - multiple species,6/135,62/9446,0.0967741935483871,6.7713261648745515,5.489681727144249,2.4307822993903188e-4,0.06260255413355234,0.05175851420600214,PIK3R3/EIF4EBP2/CAT/AKT1/ADCY7/ADCY3,6
Metabolism,Nucleotide metabolism,hsa00230,Purine metabolism,8/135,128/9446,0.0625,4.3731481481481485,4.626459338784114,4.79713058494654e-4,0.06260255413355234,0.05175851420600214,AK4/GUCY2C/ADCY7/APRT/PDE4A/PDE4C/ADCY3/DGUOK,8
Organismal Systems,Endocrine system,hsa04923,Regulation of lipolysis in adipocytes,5/135,59/9446,0.0847457627118644,5.929692404268676,4.573536196549476,0.001493052355627643,0.09131931887055596,0.0755009492577696,PIK3R3/ADRB1/AKT1/ADCY7/ADCY3,5
Human Diseases,Cancer: specific types,hsa05213,Endometrial cancer,5/135,59/9446,0.0847457627118644,5.929692404268676,4.573536196549476,0.001493052355627643,0.09131931887055596,0.0755009492577696,PIK3R3/ILK/AKT1/AXIN2/SOS1,5
Organismal Systems,Endocrine system,hsa04935,"Growth hormone synthesis, secretion and action",7/135,122/9446,0.05737704918032787,4.014693381906496,4.0354468577116736,0.0017850974234939786,0.09131931887055596,0.0755009492577696,PIK3R3/AKT1/ADCY7/STAT5B/STAT3/ADCY3/SOS1,7
Human Diseases,Infectious disease: viral,hsa05161,Hepatitis B,8/135,163/9446,0.049079754601226995,3.4341286071347423,3.7745297216214126,0.002296856195808603,0.09131931887055596,0.0755009492577696,HSPG2/PIK3R3/AKT1/SMAD3/STAT5B/STAT3/IRF3/SOS1,8
Human Diseases,Cancer: specific types,hsa05221,Acute myeloid leukemia,5/135,68/9446,0.07352941176470588,5.14488017429194,4.130294548508669,0.002806635730558346,0.09131931887055596,0.0755009492577696,PIK3R3/AKT1/STAT5B/STAT3/SOS1,5
Organismal Systems,Endocrine system,hsa04917,Prolactin signaling pathway,5/135,71/9446,0.07042253521126761,4.927490871152843,3.999709250682184,0.0033882853394807014,0.09131931887055596,0.0755009492577696,PIK3R3/AKT1/STAT5B/STAT3/SOS1,5
Human Diseases,Cancer: specific types,hsa05223,Non-small cell lung cancer,5/135,73/9446,0.0684931506849315,4.792491121258244,3.9166647225427624,0.0038212879549568515,0.09131931887055596,0.0755009492577696,PIK3R3/AKT1/STAT5B/STAT3/SOS1,5
Cellular Processes,Cellular community - eukaryotes,hsa04550,Signaling pathways regulating pluripotency of stem cells,7/135,144/9446,0.04861111111111111,3.4013374485596706,3.496358640574644,0.004521742979547131,0.09131931887055596,0.0755009492577696,PIK3R3/WNT5B/AKT1/SMAD3/STAT3/AXIN2/PCGF1,7
Human Diseases,Infectious disease: viral,hsa05166,Human T-cell leukemia virus 1 infection,9/135,224/9446,0.04017857142857143,2.811309523809524,3.3034962862034645,0.004763947162341391,0.09131931887055596,0.0755009492577696,PIK3R3/CRTC2/CHEK1/AKT1/SMAD3/ADCY7/KAT2A/STAT5B/ADCY3,9
Human Diseases,Cancer: specific types,hsa05212,Pancreatic cancer,5/135,77/9446,0.06493506493506493,4.543530543530543,3.759279580145329,0.0048040109484840604,0.09131931887055596,0.0755009492577696,PIK3R3/BRCA2/AKT1/SMAD3/STAT3,5
Human Diseases,Cancer: specific types,hsa05220,Chronic myeloid leukemia,5/135,77/9446,0.06493506493506493,4.543530543530543,3.759279580145329,0.0048040109484840604,0.09131931887055596,0.0755009492577696,PIK3R3/AKT1/SMAD3/STAT5B/SOS1,5
Human Diseases,Cancer: overview,hsa05208,Chemical carcinogenesis - reactive oxygen species,9/135,227/9446,0.039647577092511016,2.774155653450808,3.2578601890557843,0.005192466472250997,0.09131931887055596,0.0755009492577696,PIK3R3/CYP2E1/CAT/AKT1/NDUFAB1/NDUFS7/PRKD3/SOS1/COX7A2L,9
Human Diseases,Cancer: specific types,hsa05224,Breast cancer,7/135,148/9446,0.0472972972972973,3.3094094094094095,3.409625809270621,0.005248236716698619,0.09131931887055596,0.0755009492577696,PIK3R3/WNT5B/BRCA2/AKT1/BRCA1/AXIN2/SOS1,7
Human Diseases,Endocrine and metabolic disease,hsa04934,Cushing syndrome,7/135,155/9446,0.04516129032258064,3.1599522102747906,3.264738971176891,0.006726499950227596,0.10972603043808765,0.09071924274978008,PBX1/WNT5B/KMT2D/USP8/ADCY7/AXIN2/ADCY3,7
Genetic Information Processing,Replication and repair,hsa03460,Fanconi anemia pathway,4/135,55/9446,0.07272727272727272,5.088754208754209,3.6617284193941684,0.007749161215249142,0.11468362387473438,0.0948180798319038,RPA2/BRCA2/FANCA/BRCA1,4
Human Diseases,Cancer: specific types,hsa05210,Colorectal cancer,5/135,87/9446,0.05747126436781609,4.021285653469562,3.4088382406575874,0.00802464074707918,0.11468362387473438,0.0948180798319038,PIK3R3/AKT1/SMAD3/AXIN2/SOS1,5
Cellular Processes,Cellular community - eukaryotes,hsa04510,Focal adhesion,8/135,203/9446,0.03940886699507389,2.757453019521985,3.0478596801011633,0.008571516021051558,0.11468362387473438,0.0948180798319038,PIK3R3/CAPN2/ILK/ACTN1/AKT1/RASGRF1/MYLK3/SOS1,8
Human Diseases,Neurodegenerative disease,hsa05022,Pathways of neurodegeneration - multiple diseases,14/135,483/9446,0.028985507246376812,2.0281266774020397,2.792950234527074,0.009019489749743871,0.11468362387473438,0.0948180798319038,PSMB2/CAPN2/CAT/SPTBN2/WNT5B/GPX2/PSEN1/NDUFAB1/UBB/AXIN2/TUBB8B/NDUFS7/TOMM40/COX7A2L,14
Organismal Systems,Aging,hsa04211,Longevity regulating pathway,5/135,90/9446,0.05555555555555555,3.887242798353909,3.313821848353801,0.009227418012909662,0.11468362387473438,0.0948180798319038,PIK3R3/CAT/AKT1/ADCY7/ADCY3,5
Cellular Processes,Cellular community - eukaryotes,hsa04540,Gap junction,5/135,92/9446,0.05434782608695652,3.802737520128824,3.252725095548086,0.010095094042348263,0.11976452477513166,0.09901886500867912,ADRB1/ADCY7/TUBB8B/ADCY3/SOS1,5
