category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Infectious disease: viral,hsa05161,Hepatitis B,6/73,163/9446,0.03680981595092025,4.763089335238256,4.276783424135563,0.0015788876775017537,0.3222305598882927,0.2975912817240439,HSPG2/SMAD3/STAT5B/STAT3/IRF3/SOS1,6
Metabolism,Nucleotide metabolism,hsa00230,Purine metabolism,5/73,128/9446,0.0390625,5.054580479452055,4.075798072624889,0.0030399109423423836,0.3222305598882927,0.2975912817240439,AK4/GUCY2C/PDE4C/ADCY3/DGUOK,5
Metabolism,Metabolism of other amino acids,hsa00480,Glutathione metabolism,3/73,59/9446,0.05084745762711865,6.579521708846065,3.7938719732476907,0.010564249173686945,0.3368341713659654,0.31107823174811106,TXNDC12/GPX2/IDH2,3
Human Diseases,Cancer: specific types,hsa05213,Endometrial cancer,3/73,59/9446,0.05084745762711865,6.579521708846065,3.7938719732476907,0.010564249173686945,0.3368341713659654,0.31107823174811106,ILK/AXIN2/SOS1,3
Organismal Systems,Endocrine system,hsa04935,"Growth hormone synthesis, secretion and action",4/73,122/9446,0.03278688524590164,4.242533123736807,3.181165815028313,0.014538848984965718,0.3368341713659654,0.31107823174811106,STAT5B/STAT3/ADCY3/SOS1,4
Human Diseases,Cancer: specific types,hsa05221,Acute myeloid leukemia,3/73,68/9446,0.04411764705882353,5.7087026591458505,3.438932976780262,0.015503204920097581,0.3368341713659654,0.31107823174811106,STAT5B/STAT3/SOS1,3
Organismal Systems,Endocrine system,hsa04917,Prolactin signaling pathway,3/73,71/9446,0.04225352112676056,5.467489870731237,3.334496111658594,0.017393364497376478,0.3368341713659654,0.31107823174811106,STAT5B/STAT3/SOS1,3
Human Diseases,Cancer: specific types,hsa05223,Non-small cell lung cancer,3/73,73/9446,0.0410958904109589,5.317695627697504,3.268114381330743,0.018721990005263422,0.3368341713659654,0.31107823174811106,STAT5B/STAT3/SOS1,3
Human Diseases,Cancer: overview,hsa05203,Viral carcinogenesis,5/73,205/9446,0.024390243902439025,3.156030738389576,2.7542001420236146,0.020926592356587687,0.3368341713659654,0.31107823174811106,CHEK1/KAT2A/STAT5B/STAT3/IRF3,5
Human Diseases,Cancer: specific types,hsa05220,Chronic myeloid leukemia,3/73,77/9446,0.03896103896103896,5.041451698985945,3.1423838820531285,0.02154437512685921,0.3368341713659654,0.31107823174811106,SMAD3/STAT5B/SOS1,3
Metabolism,Energy metabolism,hsa00190,Oxidative phosphorylation,4/73,138/9446,0.028985507246376812,3.7506452253325393,2.872559531303409,0.02184370092042273,0.3368341713659654,0.31107823174811106,ATP6V1D/NDUFAB1/NDUFS7/COX7A2L,4
Metabolism,Carbohydrate metabolism,hsa00020,Citrate cycle (TCA cycle),2/73,30/9446,0.06666666666666667,8.62648401826484,3.6921120235948215,0.022287203076191444,0.3368341713659654,0.31107823174811106,IDH2/MDH1,2
Cellular Processes,Cellular community - eukaryotes,hsa04550,Signaling pathways regulating pluripotency of stem cells,4/73,144/9446,0.027777777777777776,3.594368340943683,2.7685209683584318,0.025070893564008385,0.3368341713659654,0.31107823174811106,SMAD3/STAT3/AXIN2/PCGF1,4
Human Diseases,Cancer: overview,hsa05207,Chemical carcinogenesis - receptor activation,5/73,217/9446,0.02304147465437788,2.9815036929486776,2.6059767258237296,0.0259878808183581,0.3368341713659654,0.31107823174811106,ADRB1/STAT5B/STAT3/ADCY3/SOS1,5
NA,NA,hsa04081,Hormone signaling,5/73,219/9446,0.0228310502283105,2.9542753487208357,2.5822640771510903,0.02690146585558457,0.3368341713659654,0.31107823174811106,ADRB1/GUCY2C/STAT5B/STAT3/ADCY3,5
Human Diseases,Infectious disease: viral,hsa05166,Human T-cell leukemia virus 1 infection,5/73,224/9446,0.022321428571428572,2.8883317025440314,2.524136502197646,0.029274919452280165,0.3368341713659654,0.31107823174811106,CHEK1/SMAD3/KAT2A/STAT5B/ADCY3,5
Human Diseases,Cancer: specific types,hsa05210,Colorectal cancer,3/73,87/9446,0.034482758620689655,4.461974492205952,2.8628056721459805,0.029565609808972798,0.3368341713659654,0.31107823174811106,SMAD3/AXIN2/SOS1,3
Human Diseases,Infectious disease: viral,hsa05163,Human cytomegalovirus infection,5/73,227/9446,0.022026431718061675,2.850159917928912,2.4900231907519026,0.03076098656648619,0.3368341713659654,0.31107823174811106,IL10RA/STAT3/IRF3/ADCY3/SOS1,5
Genetic Information Processing,Replication and repair,hsa03030,DNA replication,2/73,36/9446,0.05555555555555555,7.188736681887366,3.2830806094450318,0.03133569259042104,0.3368341713659654,0.31107823174811106,RPA2/POLA2,2
Cellular Processes,Cell growth and death,hsa04110,Cell cycle,4/73,158/9446,0.02531645569620253,3.275880006936015,2.5458915725036424,0.033675314084343655,0.3368341713659654,0.31107823174811106,CHEK1/DDX11/SMAD3/MAU2,4
Cellular Processes,Cellular community - eukaryotes,hsa04540,Gap junction,3/73,92/9446,0.03260869565217391,4.219475878499106,2.7384417608412264,0.034091310852090245,0.3368341713659654,0.31107823174811106,ADRB1/ADCY3/SOS1,3
Organismal Systems,Environmental adaptation,hsa04714,Thermogenesis,5/73,235/9446,0.02127659574468085,2.753133197318566,2.4016988840730944,0.034954489481373766,0.3368341713659654,0.31107823174811106,NDUFAB1/NDUFS7/ADCY3/SOS1/COX7A2L,5
Organismal Systems,Digestive system,hsa04970,Salivary secretion,3/73,97/9446,0.030927835051546393,4.001977121875441,2.622610333538933,0.03895660503418903,0.34563676594422543,0.3192077381610027,ADRB1/LYZ/ADCY3,3
Genetic Information Processing,Replication and repair,hsa03440,Homologous recombination,2/73,41/9446,0.04878048780487805,6.312061476779152,3.0081447029046116,0.03979462322204687,0.34563676594422543,0.3192077381610027,RPA2/BRCA1,2
Environmental Information Processing,Signal transduction,hsa04630,JAK-STAT signaling pathway,4/73,168/9446,0.023809523809523808,3.0808871493803,2.4015912227073386,0.04075905258776243,0.34563676594422543,0.3192077381610027,IL10RA/STAT5B/STAT3/SOS1,4
Human Diseases,Endocrine and metabolic disease,hsa04933,AGE-RAGE signaling pathway in diabetic complications,3/73,101/9446,0.0297029702970297,3.84348297843483,2.535389979452899,0.0430903723920533,0.3513522671967423,0.3244862050575674,SMAD3/STAT5B/STAT3,3
Metabolism,Carbohydrate metabolism,hsa00620,Pyruvate metabolism,2/73,47/9446,0.0425531914893617,5.506266394637132,2.7330530959056447,0.05093923867577736,0.3866763161958502,0.35710920959497583,ACYP2/MDH1,2
Organismal Systems,Immune system,hsa04659,Th17 cell differentiation,3/73,109/9446,0.027522935779816515,3.561392484604751,2.3736069403114817,0.05198962669740544,0.3866763161958502,0.35710920959497583,SMAD3/STAT5B/STAT3,3
NA,NA,hsa03272,Virion - Hepatitis viruses,2/73,48/9446,0.041666666666666664,5.391552511415525,2.691808010242762,0.052894401743771954,0.3866763161958502,0.35710920959497583,HSPG2/EPCAM,2
Human Diseases,Infectious disease: bacterial,hsa05110,Vibrio cholerae infection,2/73,51/9446,0.0392156862745098,5.0744023636852,2.574682692543665,0.05891692623453544,0.4048724276566657,0.37391396000069427,ATP6V1D/ADCY3,2
Organismal Systems,Endocrine system,hsa04928,"Parathyroid hormone synthesis, secretion and action",3/73,115/9446,0.02608695652173913,3.375580702799285,2.2619224805096145,0.05920304366677659,0.4048724276566657,0.37391396000069427,SLC12A3/PDE4C/ADCY3,3
Organismal Systems,Immune system,hsa04062,Chemokine signaling pathway,4/73,193/9446,0.02072538860103627,2.6818085030875154,2.0832290354543535,0.061912674459392775,0.4101714682934771,0.37880781083707427,STAT5B/STAT3/ADCY3/SOS1,4
Human Diseases,Neurodegenerative disease,hsa05014,Amyotrophic lateral sclerosis,6/73,371/9446,0.016172506738544475,2.0926780637300153,1.8948680149548773,0.06643827854775809,0.41960156506026774,0.3875168376425512,GPX2/NDUFAB1/NDUFS7/TOMM40/NUP62/COX7A2L,6
Genetic Information Processing,Replication and repair,hsa03460,Fanconi anemia pathway,2/73,55/9446,0.03636363636363636,4.7053549190535495,2.4320827114285786,0.06729459062287313,0.41960156506026774,0.3875168376425512,RPA2/BRCA1,2
Human Diseases,Cardiovascular disease,hsa05415,Diabetic cardiomyopathy,4/73,205/9446,0.01951219512195122,2.5248245907116607,1.9478720917662131,0.07378945517311085,0.44695327133427143,0.4127771026225149,SMAD3/NDUFAB1/NDUFS7/COX7A2L,4
Organismal Systems,Endocrine system,hsa04923,Regulation of lipolysis in adipocytes,2/73,59/9446,0.03389830508474576,4.386347805897376,2.302593430561257,0.07604108310658642,0.4477974894054534,0.413556767772663,ADRB1/ADCY3,2
Human Diseases,Neurodegenerative disease,hsa05022,Pathways of neurodegeneration - multiple diseases,7/73,483/9446,0.014492753623188406,1.8753226126662697,1.742762144472857,0.07856528815408569,0.45015786726124773,0.4157366599334264,GPX2/NDUFAB1/UBB/AXIN2/NDUFS7/TOMM40/COX7A2L,7
Environmental Information Processing,Signal transduction,hsa04068,FoxO signaling pathway,3/73,133/9446,0.022556390977443608,2.918735194149758,1.9666141666005392,0.08346205615710309,0.45911433911300065,0.4240082774330593,SMAD3/STAT3/SOS1,3
Organismal Systems,Endocrine system,hsa04927,Cortisol synthesis and secretion,2/73,65/9446,0.03076923076923077,3.9814541622760804,2.12854751755271,0.08978787533456294,0.45911433911300065,0.4240082774330593,PBX1/ADCY3,2
Human Diseases,Immune disease,hsa05321,Inflammatory bowel disease,2/73,66/9446,0.030303030303030304,3.9211290992112913,2.101572622938421,0.09214651851121274,0.45911433911300065,0.4240082774330593,SMAD3/STAT3,2
Organismal Systems,Endocrine system,hsa04915,Estrogen signaling pathway,3/73,139/9446,0.02158273381294964,2.792746624618114,1.87907692443931,0.09236634200401596,0.45911433911300065,0.4240082774330593,KRT34/ADCY3/SOS1,3
Human Diseases,Infectious disease: viral,hsa05162,Measles,3/73,139/9446,0.02158273381294964,2.792746624618114,1.87907692443931,0.09236634200401596,0.45911433911300065,0.4240082774330593,STAT5B/STAT3/IRF3,3
Metabolism,Metabolism of cofactors and vitamins,hsa00830,Retinol metabolism,2/73,68/9446,0.029411764705882353,3.8058017727638997,2.0491767990329204,0.09691786953015595,0.45911433911300065,0.4240082774330593,RDH12/CYP2A6,2
Environmental Information Processing,Signal transduction,hsa04024,cAMP signaling pathway,4/73,226/9446,0.017699115044247787,2.290216995999515,1.73250549312167,0.09714644401621962,0.45911433911300065,0.4240082774330593,ADRB1/PDE4C/FFAR2/ADCY3,4
Human Diseases,Cancer: overview,hsa05208,Chemical carcinogenesis - reactive oxygen species,4/73,227/9446,0.01762114537444934,2.2801279343431298,1.722850123794648,0.09833721455343457,0.45911433911300065,0.4240082774330593,NDUFAB1/NDUFS7/SOS1/COX7A2L,4
Metabolism,Glycan biosynthesis and metabolism,hsa00533,Glycosaminoglycan biosynthesis - keratan sulfate,1/73,14/9446,0.07142857142857142,9.2426614481409,2.723658708624043,0.10299090915394393,0.45911433911300065,0.4240082774330593,FUT8,1
Human Diseases,Cancer: specific types,hsa05224,Breast cancer,3/73,148/9446,0.02027027027027027,2.6229174379859312,1.7561257708896905,0.10642727113446333,0.45911433911300065,0.4240082774330593,BRCA1/AXIN2/SOS1,3
Organismal Systems,Nervous system,hsa04723,Retrograde endocannabinoid signaling,3/73,149/9446,0.020134228187919462,2.6053139652477704,1.7430297720955523,0.10803941157479857,0.45911433911300065,0.4240082774330593,NDUFAB1/NDUFS7/ADCY3,3
Human Diseases,Cancer: specific types,hsa05226,Gastric cancer,3/73,150/9446,0.02,2.587945205479452,1.7300401693802654,0.10966118244566166,0.45911433911300065,0.4240082774330593,SMAD3/AXIN2/SOS1,3
Metabolism,Metabolism of cofactors and vitamins,hsa00730,Thiamine metabolism,1/73,15/9446,0.06666666666666667,8.62648401826484,2.608640450299536,0.10993340953899078,0.45911433911300065,0.4240082774330593,AK4,1
Organismal Systems,Endocrine system,hsa04918,Thyroid hormone synthesis,2/73,75/9446,0.02666666666666667,3.4505936073059362,1.8803212826748374,0.11414308167218097,0.45911433911300065,0.4240082774330593,GPX2/ADCY3,2
Human Diseases,Infectious disease: viral,hsa05165,Human papillomavirus infection,5/73,333/9446,0.015015015015015015,1.9429018059155045,1.5458985927003088,0.11446147464083989,0.45911433911300065,0.4240082774330593,HES2/ATP6V1D/AXIN2/IRF3/SOS1,5
Human Diseases,Endocrine and metabolic disease,hsa04934,Cushing syndrome,3/73,155/9446,0.01935483870967742,2.5044631020768895,1.6666302592121012,0.11791127106549372,0.45911433911300065,0.4240082774330593,PBX1/AXIN2/ADCY3,3
Human Diseases,Cancer: specific types,hsa05212,Pancreatic cancer,2/73,77/9446,0.025974025974025976,3.360967799323964,1.8357431218350604,0.11920193844052669,0.45911433911300065,0.4240082774330593,SMAD3/STAT3,2
Cellular Processes,Cell growth and death,hsa04218,Cellular senescence,3/73,157/9446,0.01910828025477707,2.4725591135153997,1.6419547534393983,0.12127548580343414,0.45911433911300065,0.4240082774330593,CHEK1/SMAD3/ZFP36L2,3
Human Diseases,Endocrine and metabolic disease,hsa04932,Non-alcoholic fatty liver disease,3/73,157/9446,0.01910828025477707,2.4725591135153997,1.6419547534393983,0.12127548580343414,0.45911433911300065,0.4240082774330593,NDUFAB1/NDUFS7/COX7A2L,3
Human Diseases,Infectious disease: viral,hsa05160,Hepatitis C,3/73,159/9446,0.018867924528301886,2.441457741018351,1.617654822680338,0.1246752551649497,0.4637044578064796,0.42824741386298515,STAT3/IRF3/SOS1,3
Human Diseases,Drug resistance: antineoplastic,hsa01521,EGFR tyrosine kinase inhibitor resistance,2/73,80/9446,0.025,3.234931506849315,1.7715574368610738,0.12689359157855343,0.4638179554250574,0.4283522329148991,STAT3/SOS1,2
Genetic Information Processing,Chromosome,hsa03083,Polycomb repressive complex,2/73,83/9446,0.024096385542168676,3.118006271661991,1.7103377401930546,0.13470081974479026,0.4840097251846701,0.4470000441129525,ASXL2/PCGF1,2
Metabolism,Global and overview maps,hsa01232,Nucleotide metabolism,2/73,85/9446,0.023529411764705882,3.04464141821112,1.671046737883085,0.13996529241879935,0.4884912898847772,0.451138927103121,AK4/DGUOK,2
Environmental Information Processing,Signal transduction,hsa04012,ErbB signaling pathway,2/73,86/9446,0.023255813953488372,3.0092386110226186,1.6518321674447924,0.1426144296932368,0.4884912898847772,0.451138927103121,STAT5B/SOS1,2
Human Diseases,Cancer: specific types,hsa05225,Hepatocellular carcinoma,3/73,170/9446,0.01764705882352941,2.28348106365834,1.4902415189125167,0.1439758806466078,0.4884912898847772,0.451138927103121,SMAD3/AXIN2/SOS1,3
Environmental Information Processing,Signal transduction,hsa04310,Wnt signaling pathway,3/73,174/9446,0.017241379310344827,2.230987246102976,1.4463205892663686,0.15123075673365577,0.4884912898847772,0.451138927103121,ROR1/SMAD3/AXIN2,3
Human Diseases,Substance dependence,hsa05032,Morphine addiction,2/73,91/9446,0.02197802197802198,2.8438958301972,1.5597618188737976,0.15601632279302313,0.4884912898847772,0.451138927103121,PDE4C/ADCY3,2
Human Diseases,Neurodegenerative disease,hsa05012,Parkinson disease,4/73,271/9446,0.014760147601476014,1.9099226608704443,1.3412483248429203,0.15708067197073347,0.4884912898847772,0.451138927103121,NDUFAB1/UBB/NDUFS7/COX7A2L,4
Cellular Processes,Cellular community - eukaryotes,hsa04520,Adherens junction,2/73,93/9446,0.021505376344086023,2.7827367800854326,1.524671682877936,0.16144419473989421,0.4884912898847772,0.451138927103121,SMAD3/NECTIN2,2
Organismal Systems,Endocrine system,hsa04912,GnRH signaling pathway,2/73,93/9446,0.021505376344086023,2.7827367800854326,1.524671682877936,0.16144419473989421,0.4884912898847772,0.451138927103121,ADCY3/SOS1,2
Metabolism,Glycan biosynthesis and metabolism,hsa00515,Mannose type O-glycan biosynthesis,1/73,23/9446,0.043478260869565216,5.625967837998808,1.960175849542149,0.16359849802744897,0.4884912898847772,0.451138927103121,FKRP,1
