"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009975","cyclase activity","3/268","21/18639",0.142857142857143,9.93550106609808,4.94837606393364,0.00322741347226026,0.589579020005028,0.57248468739541,"GUCY2C/ADCY7/ADCY3",3
"GO:0016849","phosphorus-oxygen lyase activity","3/268","23/18639",0.130434782608696,9.07154445165477,4.67819184834655,0.00420754056084146,0.589579020005028,0.57248468739541,"GUCY2C/ADCY7/ADCY3",3
"GO:0001216","DNA-binding transcription activator activity","15/268","491/18639",0.0305498981670061,2.12469982065234,3.05044808896819,0.00514267359362309,0.589579020005028,0.57248468739541,"PBX1/RFX4/KLF13/SMAD3/ATMIN/STAT5B/STAT3/BRCA1/NFIC/ZNF91/ZNF574/ZNF227/MEIS3/IRF3/TLX2",15
"GO:0004016","adenylate cyclase activity","2/268","11/18639",0.181818181818182,12.6451831750339,4.6661662089835,0.0103990264457071,0.589579020005028,0.57248468739541,"ADCY7/ADCY3",2
"GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","14/268","484/18639",0.0289256198347107,2.01173368693721,2.72390161349574,0.0106269745075752,0.589579020005028,0.57248468739541,"PBX1/RFX4/KLF13/SMAD3/ATMIN/STAT5B/STAT3/NFIC/ZNF91/ZNF574/ZNF227/MEIS3/IRF3/TLX2",14
"GO:0035259","nuclear glucocorticoid receptor binding","2/268","12/18639",0.166666666666667,11.5914179104478,4.43275698068345,0.0123613452056823,0.589579020005028,0.57248468739541,"SMAD3/STAT5B",2
"GO:0008253","5'-nucleotidase activity","2/268","13/18639",0.153846153846154,10.6997703788749,4.22545987868569,0.0144714864816544,0.589579020005028,0.57248468739541,"NT5DC3/NT5C3B",2
"GO:0042578","phosphoric ester hydrolase activity","11/268","363/18639",0.0303030303030303,2.10753052917232,2.57376621880967,0.0163547436841268,0.589579020005028,0.57248468739541,"PTPRR/NT5DC3/PGAM5/SGPP1/CTDNEP1/NT5C3B/PHLPP1/PDE4A/PDE4C/PPM1G/INPP4A",11
"GO:0008392","arachidonate epoxygenase activity","2/268","14/18639",0.142857142857143,9.93550106609808,4.03957280894748,0.0167248264354332,0.589579020005028,0.57248468739541,"CYP2E1/CYP2A6",2
"GO:0016791","phosphatase activity","9/268","273/18639",0.032967032967033,2.29280793833033,2.59901446036266,0.0176170517744407,0.589579020005028,0.57248468739541,"PTPRR/NT5DC3/PGAM5/SGPP1/CTDNEP1/NT5C3B/PHLPP1/PPM1G/INPP4A",9
"GO:0004698","calcium,diacylglycerol-dependent serine/threonine kinase activity","2/268","15/18639",0.133333333333333,9.27313432835821,3.87150545978454,0.0191168427698058,0.589579020005028,0.57248468739541,"PKN2/PRKD3",2
"GO:0004699","diacylglycerol-dependent, calcium-independent serine/threonine kinase activity","2/268","15/18639",0.133333333333333,9.27313432835821,3.87150545978454,0.0191168427698058,0.589579020005028,0.57248468739541,"PKN2/PRKD3",2
"GO:0008252","nucleotidase activity","2/268","15/18639",0.133333333333333,9.27313432835821,3.87150545978454,0.0191168427698058,0.589579020005028,0.57248468739541,"NT5DC3/NT5C3B",2
"GO:0001217","DNA-binding transcription repressor activity","9/268","278/18639",0.0323741007194245,2.25157038548266,2.53939443290415,0.0195653813343036,0.589579020005028,0.57248468739541,"HES2/ZNF140/DACH1/ZBTB25/SMAD3/NACC1/ZNF91/IRF3/VAX2",9
"GO:0008227","G protein-coupled amine receptor activity","3/268","41/18639",0.0731707317073171,5.08891518019658,3.16568399485011,0.0209621483078224,0.589579020005028,0.57248468739541,"ADRB1/DRD4/OR5AN1",3
"GO:0004697","diacylglycerol-dependent serine/threonine kinase activity","2/268","16/18639",0.125,8.69356343283582,3.71846211142477,0.0216431127823709,0.589579020005028,0.57248468739541,"PKN2/PRKD3",2
"GO:0008391","arachidonate monooxygenase activity","2/268","16/18639",0.125,8.69356343283582,3.71846211142477,0.0216431127823709,0.589579020005028,0.57248468739541,"CYP2E1/CYP2A6",2
"GO:0070411","I-SMAD binding","2/268","16/18639",0.125,8.69356343283582,3.71846211142477,0.0216431127823709,0.589579020005028,0.57248468739541,"SMAD3/AXIN2",2
"GO:0098631","cell adhesion mediator activity","4/268","76/18639",0.0526315789473684,3.66044776119403,2.80697213739596,0.0239291123047409,0.589579020005028,0.57248468739541,"NTNG1/GLDN/BCAM/EPCAM",4
"GO:0001223","transcription coactivator binding","3/268","44/18639",0.0681818181818182,4.74194369063772,3.00141567899448,0.0252416477800201,0.589579020005028,0.57248468739541,"SMAD3/FLYWCH1/MED25",3
"GO:0001221","transcription coregulator binding","5/268","115/18639",0.0434782608695652,3.02384815055159,2.62942089869732,0.0253211867854412,0.589579020005028,0.57248468739541,"PBX1/SMAD3/FLYWCH1/MED25/TRAPPC2B",5
"GO:0051539","4 iron, 4 sulfur cluster binding","3/268","45/18639",0.0666666666666667,4.6365671641791,2.94993270447621,0.0267646307518991,0.589579020005028,0.57248468739541,"DDX11/METTL17/NDUFS7",3
"GO:0033192","calmodulin-dependent protein phosphatase activity","4/268","81/18639",0.0493827160493827,3.43449419568823,2.65207816428268,0.0293717228797182,0.589579020005028,0.57248468739541,"PGAM5/CTDNEP1/PHLPP1/PPM1G",4
"GO:0140791","histone H2AXS140 phosphatase activity","4/268","81/18639",0.0493827160493827,3.43449419568823,2.65207816428268,0.0293717228797182,0.589579020005028,0.57248468739541,"PGAM5/CTDNEP1/PHLPP1/PPM1G",4
"GO:0180004","RNA polymerase II CTD heptapeptide repeat Y1 phosphatase activity","4/268","81/18639",0.0493827160493827,3.43449419568823,2.65207816428268,0.0293717228797182,0.589579020005028,0.57248468739541,"PGAM5/CTDNEP1/PHLPP1/PPM1G",4
"GO:0180005","RNA polymerase II CTD heptapeptide repeat T4 phosphatase activity","4/268","81/18639",0.0493827160493827,3.43449419568823,2.65207816428268,0.0293717228797182,0.589579020005028,0.57248468739541,"PGAM5/CTDNEP1/PHLPP1/PPM1G",4
"GO:0180006","RNA polymerase II CTD heptapeptide repeat S2 phosphatase activity","4/268","81/18639",0.0493827160493827,3.43449419568823,2.65207816428268,0.0293717228797182,0.589579020005028,0.57248468739541,"PGAM5/CTDNEP1/PHLPP1/PPM1G",4
"GO:0180007","RNA polymerase II CTD heptapeptide repeat S5 phosphatase activity","4/268","81/18639",0.0493827160493827,3.43449419568823,2.65207816428268,0.0293717228797182,0.589579020005028,0.57248468739541,"PGAM5/CTDNEP1/PHLPP1/PPM1G",4
"GO:0180008","RNA polymerase II CTD heptapeptide repeat S7 phosphatase activity","4/268","81/18639",0.0493827160493827,3.43449419568823,2.65207816428268,0.0293717228797182,0.589579020005028,0.57248468739541,"PGAM5/CTDNEP1/PHLPP1/PPM1G",4
"GO:1990439","MAP kinase serine/threonine phosphatase activity","4/268","81/18639",0.0493827160493827,3.43449419568823,2.65207816428268,0.0293717228797182,0.589579020005028,0.57248468739541,"PGAM5/CTDNEP1/PHLPP1/PPM1G",4
