"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006163","purine nucleotide metabolic process","19/287","448/18805",0.0424107142857143,2.77886230711797,4.74405281784811,6.34418873860748e-05,0.0857130714753956,0.0807413345567715,"KCNAB2/AK4/PGAM1/GUCY2C/PSEN1/EFL1/IDH2/NDUFAB1/ADCY7/APRT/VPS9D1/STAT3/NDUFS7/PDE4A/PDE4C/FKRP/ADCY3/MDH1/DGUOK",19
"GO:0001657","ureteric bud development","8/287","100/18805",0.08,5.2418118466899,5.29470263743081,0.000147582279565551,0.0857130714753956,0.0807413345567715,"PBX1/ILK/CAT/SMAD3/SOX8/LHX1/NOG/EPCAM",8
"GO:0072163","mesonephric epithelium development","8/287","101/18805",0.0792079207920792,5.18991271949495,5.25614631266637,0.000158189880310837,0.0857130714753956,0.0807413345567715,"PBX1/ILK/CAT/SMAD3/SOX8/LHX1/NOG/EPCAM",8
"GO:0072164","mesonephric tubule development","8/287","101/18805",0.0792079207920792,5.18991271949495,5.25614631266637,0.000158189880310837,0.0857130714753956,0.0807413345567715,"PBX1/ILK/CAT/SMAD3/SOX8/LHX1/NOG/EPCAM",8
"GO:0010001","glial cell differentiation","13/287","259/18805",0.0501930501930502,3.28878156404289,4.61740672000985,0.000183696246251181,0.0857130714753956,0.0807413345567715,"LIN28A/POU3F1/ROR1/GPR37L1/ILK/PSEN1/AKT1/SOX8/STAT3/NOG/LGI4/FKRP/SOS1",13
"GO:0005996","monosaccharide metabolic process","13/287","260/18805",0.05,3.27613240418118,4.6008683509929,0.000190771950874692,0.0857130714753956,0.0807413345567715,"ZMPSTE24/CRTC2/PGAM1/SLC37A4/FUT8/AKT1/PGP/KAT2A/PDK2/C1QTNF1/MAN2B1/FKRP/PPP4R3B",13
"GO:1905332","positive regulation of morphogenesis of an epithelium","5/287","36/18805",0.138888888888889,9.10036778939218,6.05625915667043,0.000204586715353646,0.0857130714753956,0.0807413345567715,"MMRN2/WNT5B/SOX8/LHX1/NOG",5
"GO:0001823","mesonephros development","8/287","105/18805",0.0761904761904762,4.99220175875228,5.1068765263946,0.000207098934401439,0.0857130714753956,0.0807413345567715,"PBX1/ILK/CAT/SMAD3/SOX8/LHX1/NOG/EPCAM",8
"GO:0019318","hexose metabolic process","12/287","237/18805",0.0506329113924051,3.31760243461386,4.46991821930198,0.000298658841369162,0.0886614700051618,0.0835187129425979,"ZMPSTE24/CRTC2/PGAM1/SLC37A4/FUT8/AKT1/PGP/KAT2A/PDK2/C1QTNF1/MAN2B1/PPP4R3B",12
"GO:0009150","purine ribonucleotide metabolic process","15/287","350/18805",0.0428571428571429,2.80811348929816,4.25081019373075,0.000334648003691799,0.0886614700051618,0.0835187129425979,"AK4/PGAM1/GUCY2C/PSEN1/EFL1/NDUFAB1/ADCY7/APRT/VPS9D1/STAT3/NDUFS7/PDE4A/PDE4C/FKRP/ADCY3",15
"GO:0052652","cyclic purine nucleotide metabolic process","5/287","40/18805",0.125,8.19033101045296,5.66726635991304,0.000339752232480976,0.0886614700051618,0.0835187129425979,"GUCY2C/ADCY7/PDE4A/PDE4C/ADCY3",5
"GO:0046058","cAMP metabolic process","4/287","23/18805",0.173913043478261,11.395243144978,6.21007265985586,0.000374200107937846,0.0886614700051618,0.0835187129425979,"ADCY7/PDE4A/PDE4C/ADCY3",4
"GO:0009187","cyclic nucleotide metabolic process","5/287","41/18805",0.121951219512195,7.9905668394663,5.57841266868709,0.00038215975568536,0.0886614700051618,0.0835187129425979,"GUCY2C/ADCY7/PDE4A/PDE4C/ADCY3",5
"GO:1903799","negative regulation of miRNA processing","3/287","10/18805",0.3,19.6567944250871,7.34657456509916,0.000389908699632303,0.0886614700051618,0.0835187129425979,"LIN28A/ZMPSTE24/STAT3",3
"GO:0006094","gluconeogenesis","7/287","89/18805",0.0786516853932584,5.15346670320636,4.88954275521047,0.000424754918396922,0.0886614700051618,0.0835187129425979,"CRTC2/PGAM1/SLC37A4/PGP/KAT2A/PDK2/PPP4R3B",7
"GO:0014044","Schwann cell development","5/287","42/18805",0.119047619047619,7.80031524805044,5.49251917536203,0.000428445641825004,0.0886614700051618,0.0835187129425979,"POU3F1/ILK/AKT1/LGI4/SOS1",5
"GO:0019319","hexose biosynthetic process","7/287","92/18805",0.0760869565217391,4.98541887592789,4.77051436589662,0.000519524560115569,0.0975056157399163,0.0918498591417355,"CRTC2/PGAM1/SLC37A4/PGP/KAT2A/PDK2/PPP4R3B",7
"GO:0070672","response to interleukin-15","3/287","11/18805",0.272727272727273,17.8698131137156,6.96732441057246,0.000530081873548322,0.0975056157399163,0.0918498591417355,"IL15RA/STAT5B/STAT3",3
"GO:0046364","monosaccharide biosynthetic process","7/287","94/18805",0.074468085106383,4.87934613388687,4.69399895228287,0.000591543556249509,0.101644378747547,0.0957485556053923,"CRTC2/PGAM1/SLC37A4/PGP/KAT2A/PDK2/PPP4R3B",7
"GO:0009259","ribonucleotide metabolic process","15/287","371/18805",0.0404312668463612,2.64916366914921,3.99401739275245,0.000613979938070352,0.101644378747547,0.0957485556053923,"AK4/PGAM1/GUCY2C/PSEN1/EFL1/NDUFAB1/ADCY7/APRT/VPS9D1/STAT3/NDUFS7/PDE4A/PDE4C/FKRP/ADCY3",15
"GO:0072697","protein localization to cell cortex","3/287","12/18805",0.25,16.3806620209059,6.63493427038385,0.000698815748077073,0.110179949613485,0.103789025641723,"EPB41/ILK/MISP",3
"GO:0019693","ribose phosphate metabolic process","15/287","379/18805",0.0395778364116095,2.59324464710912,3.90081693468021,0.000763388374204868,0.110661624460093,0.104242761218667,"AK4/PGAM1/GUCY2C/PSEN1/EFL1/NDUFAB1/ADCY7/APRT/VPS9D1/STAT3/NDUFS7/PDE4A/PDE4C/FKRP/ADCY3",15
"GO:0006006","glucose metabolic process","10/287","193/18805",0.0518134715025907,3.39495585925511,4.16340515673201,0.000788862093142747,0.110661624460093,0.104242761218667,"ZMPSTE24/CRTC2/PGAM1/SLC37A4/AKT1/PGP/KAT2A/PDK2/C1QTNF1/PPP4R3B",10
