"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001227","DNA-binding transcription repressor activity, RNA polymerase II-specific","6/95","268/18639",0.0223880597014925,4.39253731343284,4.00391987995609,0.00249598261471699,0.421555952333261,0.418116606057626,"HES2/NACC1/ZNF91/IRF3/MXD1/VAX2",6
"GO:0001217","DNA-binding transcription repressor activity","6/95","278/18639",0.0215827338129496,4.23453237410072,3.88906750912523,0.00299234518458748,0.421555952333261,0.418116606057626,"HES2/NACC1/ZNF91/IRF3/MXD1/VAX2",6
"GO:0009975","cyclase activity","2/95","21/18639",0.0952380952380952,18.6857142857143,5.80397437179833,0.00506811340814435,0.421555952333261,0.418116606057626,"GUCY2C/ADCY3",2
"GO:0016849","phosphorus-oxygen lyase activity","2/95","23/18639",0.0869565217391304,17.0608695652174,5.51632106018995,0.00606561283443625,0.421555952333261,0.418116606057626,"GUCY2C/ADCY3",2
"GO:0046625","sphingolipid binding","2/95","28/18639",0.0714285714285714,14.0142857142857,4.93258122017499,0.00891401898385424,0.421555952333261,0.418116606057626,"SELL/GLTPD2",2
"GO:0043236","laminin binding","2/95","29/18639",0.0689655172413793,13.5310344827586,4.83361977276927,0.00954278154970311,0.421555952333261,0.418116606057626,"BCAM/FKRP",2
"GO:0042910","xenobiotic transmembrane transporter activity","2/95","32/18639",0.0625,12.2625,4.56384999302264,0.0115434484352188,0.421555952333261,0.418116606057626,"ABCC11/ATRAID",2
"GO:0001216","DNA-binding transcription activator activity","7/95","491/18639",0.0142566191446029,2.79714867617108,2.88848499022092,0.0127476506127421,0.421555952333261,0.418116606057626,"ATMIN/STAT3/BRCA1/ZNF91/ZNF574/MEIS3/IRF3",7
"GO:0019205","nucleobase-containing compound kinase activity","2/95","44/18639",0.0454545454545455,8.91818181818182,3.7636866950445,0.0211648622668672,0.421555952333261,0.418116606057626,"AK4/DGUOK",2
"GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","6/95","484/18639",0.012396694214876,2.43223140495868,2.28505939796699,0.0372956852235232,0.421555952333261,0.418116606057626,"ATMIN/STAT3/ZNF91/ZNF574/MEIS3/IRF3",6
