"Gene","Score"
"FUT2",10.7027516019285
"ANKRD30B",8.43695200915158
"ADGRA1",6.72882424512949
"PDE1B",6.72882424512949
"PRSS27",6.72882424512949
"GSTM5",6.59705656200066
"CEACAM20",6.59705656200066
"FAT3",6.39587535885194
"KIF26A",6.39587535885194
"CDH7",6.39587535885194
"SLC24A4",6.20103970008058
"LIN28A",5.95525355919291
"HES3",5.93270026010833
"POU3F1",5.93270026010833
"ANKRD45",5.93270026010833
"CHAT",5.93270026010833
"PRSS33",5.93270026010833
"TRIM72",5.93270026010833
"OMG",5.93270026010833
"ABCA9",5.93270026010833
"NRXN1",5.93270026010833
"GAS6",5.81115800732097
"ATP1B2",5.34663370029859
"PRR33",5.19696488104329
"AL139142.2",4.74008704112551
"NMRK2",4.74008704112551
"KRT72",4.71562529048807
"MYLPF",4.71562529048807
"RNASEL",4.66763272586214
"TMEM265",4.61399153691258
"OR9Q1",4.45196661189037
"LMLN2",4.39169724473795
"PRKG1",4.27907520004719
"TMEM81",4.23374418559203
"SLC7A7",4.19939696038181
"C19orf73",4.19314889121701
"SLFNL1",4.17017147844551
"NUTM2B",4.05091970784845
"AC005697.1",3.98586399933114
"CACNG8",3.91540969948997
"CCDC175",3.91302844892771
"HDC",3.88466431687485
"CEACAM3",3.87143842646024
"KLRB1",3.86511931008952
"DSG1",3.82871135931856
"ASPRV1",3.77420837915383
"REEP1",3.76162924306414
"GPC5",3.75014437396728
"ATP6V1B1",3.7498997541032
"CDKL4",3.74848878093908
"SLC8A1",3.71227379170901
"CREB3L1",3.69412497046722
"KCNA7",3.67201948445134
"PARS2",3.63749618361947
"FBXW10",3.58527162919486
"SIAH3",3.51455476685701
"MUC5B",3.50869757780649
"MFAP5",3.50869757780649
"OCA2",3.50869757780649
"ANO5",3.5064800272495
"PRR29",3.49791313354884
"KRT79",3.42436122163668
"STX1B",3.41214145690085
"NTS",3.40362248683012
"MYO1F",3.40015964300764
"KCTD19",3.37375151065354
"RBFOX3",3.37375151065354
"DOC2B",3.37375151065354
"POTEC",3.37375151065354
"IGF1",3.34460925899825
"C2orf92",3.34106560865001
"CBFA2T3",3.29970770277836
"KCNRG",3.27537832769448
"C11orf91",3.27237681760281
"DDX25",3.24831155148902
"FOLR1",3.24364604170406
"ALOX15",3.22015901295363
"ADAM12",3.22015901295363
"PRSS53",3.21079542063548
"HNRNPCL2",3.18782171382159
"SPATA17",3.18499788248884
"LAT",3.17473654813055
"HLX",3.16442080482307
"DNASE1L2",3.15605536006925
"RGS9",3.12067939990332
"MSS51",3.11521670161479
"MINAR1",3.06662954544526
"HTR3B",3.06443566383851
"PPM1E",3.0537898491152
"LYRM9",3.04928722624139
"CCL14",3.04417594287948
"PROX2",3.04404900294352
"AQP4",3.01731372464917
"TRIM6",3.01172861827063
"NFE2",3.00947755893444
"PAOX",3.00867193950873
"ZNF43",2.99912949465085
"CYP11A1",2.99861414241118
"C1QTNF9B",2.99716543597103
"NKPD1",2.99716543597102
"KRT5",2.99572505973644
"EFNB3",2.98281693475478
"PFN4",2.98281693475478
"FOS",2.98206781499906
"AC008073.3",2.97580805651978
"SMIM17",2.97185193848314
"AC005837.2",2.94856465121821
"CAPN8",2.94655152868827
"ZNF573",2.94186926969063
"LPAR2",2.941211909497
"IRAG2",2.93706267377453
"FAR2",2.9357668999015
"NUTM2A",2.92537594271001
"IGFLR1",2.91943028754245
"APBA3",2.91622958042784
"ABCC8",2.90406544703966
"BEST3",2.90406544703966
"LRRN2",2.90406544703966
"KCNJ2",2.90406544703966
"APBB1",2.89939627509024
"PYGO1",2.89732693370755
"JAG2",2.89567032532394
"SMIM38",2.88991052387783
"KCNK3",2.88942719389037
"GNG13",2.88896345550038
"CATSPER2",2.88392441442515
"ADAMTS7",2.8803864238041
"KCNJ9",2.86992517634012
"SAA1",2.86158720075433
"GGT6",2.85770593180508
"VN1R1",2.8540408191489
"DYRK1B",2.85157072976022
"SPTBN5",2.84948845464689
"SYT15",2.84550803541732
"TMEM240",2.83834759524105
"TRIM58",2.83834759524105
"NTRK3",2.83834759524105
"RSPH6A",2.83834759524105
"C2orf50",2.83834759524105
"ALK",2.83834759524105
"GATA3",2.83834759524105
"TMEM132B",2.83834759524105
"CTNNA2",2.83834759524105
"SMIM22",2.83562159011851
"GRIN2B",2.83530903860452
"MMP8",2.80634773986956
"PRSS54",2.80515882807134
"PAX9",2.80167769707781
"ICAM5",2.79760936550342
"NXPH3",2.78267883369546
"TNFSF9",2.772725957974
"CALML3",2.77251358665504
"TLE2",2.77251358665504
"AC098850.3",2.76279640936622
"DLG2",2.76242569790237
"CASC1",2.75817885305514
"NUP210L",2.75622325857679
"MESP1",2.75622325857679
"KCNQ1",2.74774026693164
"KNCN",2.74610558202709
"CD101",2.74610558202709
"SUSD4",2.74610558202709
"NANOG",2.74610558202709
"ARMH1",2.74348497312021
"IRS2",2.72981572406558
"PDZD3",2.7231917040709
"ZSCAN5C",2.71902966622513
"SLC8A3",2.71291530583646
"TMEM160",2.71287074307914
"DDN",2.70503402613587
"SOX15",2.70258872767309
"MYT1L",2.69980410384631
"PTHLH",2.68848680880408
"KCNC4",2.68512471211249
"C1QTNF12",2.68357903044467
"ZNF540",2.68088599559168
"ZNF613",2.67726860011579
"CHST11",2.66434524052384
"SSPN",2.66129141804516
"CIDEA",2.65538590802751
"P2RX5",2.64672158628138
"ABCA3",2.63513899936494
"KRTAP5-1",2.6339800712793
"SDS",2.63339141675085
"AC113189.9",2.61887427140953
"ELP4",2.6137478448594
"SEMA6C",2.61247645740816
"TMC8",2.6102224982406
"RBM20",2.60869315175094
"SLC16A7",2.6028995391303
"CALHM2",2.59263871496476
"AC007906.2",2.59180307511851
"CLDN9",2.59111848452097
"MEIOB",2.57709169085235
"CPNE8",2.56970204018801
"DNAH3",2.56902908348827
"ABHD17C",2.56740842836588
"DAPK2",2.56559710443263
"GAL",2.55341474435513
"TEPSIN",2.55263124648418
"ZGLP1",2.54760191367772
"PAQR6",2.54333085844773
"ZNF878",2.54102934643433
"HSPB7",2.53395808774591
"KLF17",2.53395808774591
"ERICH3",2.53395808774591
"CADM3",2.53395808774591
"CR1",2.53395808774591
"AFAP1L2",2.53395808774591
"IGSF22",2.53395808774591
"PRG2",2.53395808774591
"TEX54",2.53395808774591
"ABCG4",2.53395808774591
"RERG",2.53395808774591
"KRT6C",2.53395808774591
"TBX5",2.53395808774591
"RIPK3",2.53395808774591
"SYT16",2.53395808774591
"TMEM204",2.53395808774591
"SEPTIN12",2.53395808774591
"SYT17",2.53395808774591
"VAT1L",2.53395808774591
"FOXN1",2.53395808774591
"ANKRD62",2.53395808774591
"MC5R",2.53395808774591
"AMH",2.53395808774591
"OR7A5",2.53395808774591
"CRX",2.53395808774591
"ZNF418",2.53395808774591
"CD207",2.53395808774591
"MT1H",2.52662559604895
"AANAT",2.52662559604895
"LINGO3",2.52662559604895
"TIGD3",2.519126805627
"ANK3",2.51887974109979
"NME3",2.51680362398379
"TNFRSF13B",2.51664441941081
"ZNF19",2.51343364713486
"NOXO1",2.50934629404561
"SELPLG",2.50362692531491
"C1orf53",2.50052509022693
"GREM2",2.49953822242167
"MTRNR2L7",2.49953822242167
"LRTM2",2.49953822242167
"SOHLH2",2.49953822242167
"AGBL1",2.49953822242167
"AKAP5",2.49943810056937
"EPB41L3",2.49607870587944
"BMP10",2.49247580405334
"ALDH1A3",2.49247580405334
"PRG4",2.48983687751032
"ZNF100",2.48405627900186
"HRK",2.47887964379758
"THAP10",2.46261646722405
"FAM178B",2.45678741617351
"OR56A4",2.45274329360904
"CSMD2",2.45274329360903
"C1orf94",2.45274329360903
"MCOLN2",2.45274329360903
"PLPPR4",2.45274329360903
"KPRP",2.45274329360903
"RGS13",2.45274329360903
"CXCL12",2.45274329360903
"RBP3",2.45274329360903
"C10orf53",2.45274329360903
"MRLN",2.45274329360903
"MRGPRX3",2.45274329360903
"LUZP2",2.45274329360903
"CTSF",2.45274329360903
"GPR152",2.45274329360903
"OR2AT4",2.45274329360903
"IL10RA",2.45274329360903
"ENDOU",2.45274329360903
"LRRC10",2.45274329360903
"RASSF9",2.45274329360903
"C12orf50",2.45274329360903
"NOS1",2.45274329360903
"FZD10",2.45274329360903
"KLHL1",2.45274329360903
"TNFSF13B",2.45274329360903
"INSM2",2.45274329360903
"NUTM1",2.45274329360903
"HIGD2B",2.45274329360903
"IRX5",2.45274329360903
