"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:1990904","ribonucleoprotein complex",384,0.32029066230566,1.94853666128716,1e-10,5.63e-08,4.64210526315789e-08,5289,"tags=80%, list=55%, signal=38%","HNRNPCL2/MKRN3/TEFM/TSSC4/MRPL54/PPIE/ACD/ELAVL3/TXNL4B/MRPS34/DHX32/MRPL35/SF3A2/MRPS12/SRRM1/MRPL19/XAB2/CWF19L2/DNTTIP2/RUVBL2/JMJD6/DHX37/SNIP1/MRPS11/UTP6/UTP18/PNN/MRPL9/GCFC2/MRPL28/PPP1R8/SNRPA1/RRP15/MRPL4/DYRK2/SNRPD1/RO60/SLIRP/UTP4/NOC2L/NSRP1/MRPL42/SNW1/AURKAIP1/PRPF39/HNRNPH3/LUC7L/AATF/HNRNPU/ACTN4/MRPS23/BCAS2/PRPF31/KRR1/API5/MRPL52/EXOSC10/RPS6KL1/CELF3/UTP11/HSPA8/UTP20/MPV17L2/CACTIN/WBP4/YJU2/MRPS5/MRPL30/IVNS1ABP/LUC7L3/TNRC6A/NOB1/PTGES3/MRPL27/PNO1/SART1/PA2G4/CELF1/XPO1/NOP9/MRPL58/ZC3H14/NGDN/SRSF2/HNRNPR/CELF6/DDX5/MPHOSPH10/SUZ12/RPL36AL/NOL10/EIF3A/YBX1/HNRNPF/SF1/WDR43/RBM14/SF3A3/MRPL33/ATXN2/GPATCH1/ALYREF/ZC3H18/SNRNP70/ZNHIT3/MRPL38/WDR3/SNRPF/UTP25/EIF3M/ELAVL1/CLNS1A/HEATR1/SNRNP27/EBNA1BP2/LARP4/DHX9/EIF3C/MRPS7/PPAN/DDX6/BMS1/SRSF1/HNRNPM/PRPF38B/MRPS15/DHX38/ZNHIT6/CELF2/EIF2S1/POP4/SF3B2/DDX1/MRTO4/U2AF2/RPL18A/MRPL12/EIF3CL/SNRPE/NOC4L/USP39/GADD45GIP1/SMNDC1/MRPL34/BUD13/SMG7/CPSF3/MRPS31/RBM42/RPL22/ZCCHC17/MRPL37/HNRNPL/RPS7/GAPDH/RPS15/NVL/TBL3/RPP30/PRPF3/UBA52/RPP38/SNRNP200/RPL5/RPS16/EIF3J/HEXIM1/DDX42/TRIM21/SNRNP40/SMG6/RBM17/EIF3G/PCBP2/CD2BP2/CASC3/EFTUD2/PABPC4/NUP98/ILF2/MFAP1/FTSJ3/GEMIN2/PDCD11/PRPF18/PCBP1/EEF2/GTF3C1/MAGOHB/PTCD3/HNRNPLL/TXNL4A/SNRNP35/SRP68/PABPN1/HNRNPUL1/ZFP36L2/DDX23/IGHMBP2/AGO3/PRPF19/NAT10/MRPL11/SF3B3/MRPL24/SF3B6/HNRNPA1L2/NUFIP1/WDR83/IQGAP1/ADAR/MRPS35/MRPL57/EIF1/ESRP2/DAP3/TOP2A/MVP/LRPPRC/TIA1/MRPL20/CWC15/RPLP0/SRP54/KRI1/RPL19/MRPL46/EIF4A3/RPS26/SYF2/HNRNPC/NUP62/EIF3K/UPF1/MRPL16/SRP14/EMG1/DNAJC17/WAC/LSM7/RPS15A/FAU/AGO1/CWC25/SART3/CPSF6/RPL17/SRRM2/HNRNPA1/AKAP8L/RPL13/ILF3/FCF1/SMG5/SNRPA/TARBP2/FBL/MRPL43/PARP4/EPRS1/TEP1/RPF1/IGF2BP1/BRCA1/PRORP/RBMXL1/RPL26/NIP7/MRPL23/DHX8/RBM8A/SRP9/PDCD7/SNRNP25/MRPL49/ZCCHC8/UTP14C/RPS2/SECISBP2L/DICER1/GEMIN4/RPL23/RPL6/MRPL45/PRPF40B/DAZAP1/SUGP1/RPL18/RPLP2/MAGOH/CWF19L1/MRPL48/RPS29/NSUN4/RPL4/PRPF8/ZCRB1/PRPF38A/RPLP1/MRPL17/RPL27/MRPL21/RPL13A/PABPC3/AQR/RPS19/RPS11/RPL38"
"GO:0140535","intracellular protein-containing complex",486,0.267987475403704,1.65468865422937,1.29624454439372e-07,3.64892839246833e-05,3.0086518109349e-05,5282,"tags=73%, list=54%, signal=35%","ELP4/KLHL1/EME2/POLA2/PRICKLE1/DCLRE1C/POLE2/WDR18/DCAF15/EIF2B3/EPC1/PSMB10/SNAPIN/PSMA1/DNAAF2/CLP1/TADA1/WDR77/AKT1S1/TRAPPC12/HPS6/PCGF6/SESN3/IPP/MBIP/RNASEH2A/PSMD3/CIAO3/CEP128/RMC1/POLE4/BRCA2/TXNL1/PIGV/RUVBL2/RNASEH2B/GAN/GTF2H1/KANSL2/PRKACA/SLX4/POLD3/RNF144A/GTF2F2/TNFAIP1/APC2/POLR3K/KBTBD3/URI1/GTF2B/TRAF3/GLMN/POLR2M/TRAPPC5/CSNK2A2/SOCS2/GATC/FZR1/DNAJC9/DYRK2/PSMD12/RACGAP1/DR1/PSMB2/MED17/SAMD11/TRAPPC3/STX12/SNAP47/POLR2C/CCT7/HNRNPU/CIAO2A/STIP1/PPP5C/RPAP3/PCGF1/PSME3/CCDC47/FAM98B/NAA30/UBE3A/POLRMT/USP47/KLHL28/RAP1A/HSPA8/DCAF6/ARIH1/LEO1/IVNS1ABP/KBTBD7/PRKAG1/TAF5/KCTD5/FEM1A/TAF5L/NAA25/PSMB6/MCRS1/FBXL14/PTGES3/ZZZ3/MAD2L2/EIF4A1/ANAPC7/FBXL3/CDC16/CACYBP/CCT2/PSMA5/ACTG1/WASHC4/FAM98A/PSME4/DCUN1D5/BRAP/CEP89/PSMC5/CDC20/KAT8/UBR1/KLHL17/TRAPPC2L/YBX1/PSMC1/PSMA6/TAF3/PEF1/PSMD7/BORCS8/TRAF7/PIGM/PSMC3/EIF4G2/PFDN2/MIB2/CCT4/POLR1D/POLG/DDA1/YEATS4/DHX9/CAND1/RPTOR/FBXO11/UCHL5/BMI1/BLOC1S1/SEL1L/UBE2N/PSMG2/CTR9/POP4/SYVN1/CDC27/DDX1/KLHDC2/CENPF/ANAPC11/TMEM183A/MORF4L1/POLR3E/PRKAA2/PSMC6/TSEN34/PATL1/MAT2A/KAT5/RTF1/CEP170/GTF2F1/PAF1/KLHL11/FBXL19/CNOT2/FBXO3/COMMD1/KIF23/FBH1/RPP30/GSK3A/MED8/USP22/ZNF326/MLST8/RPP38/CDC73/MEAF6/FBXO2/TNKS1BP1/TRIM21/RNF40/CEP83/CDC37/ZSWIM5/PSMB3/FBXO21/FBXO44/PSMD8/LIG4/SPSB3/MNAT1/SMCR8/CCT3/CBX4/SPSB2/COP1/PSMD9/PSMD11/POLR3B/KLHL42/KAT2A/DCUN1D3/EIF4G3/PSMB5/RAD23A/LMO7/CREBBP/LAMTOR1/AXIN2/KLHL25/DDB1/RNF31/AGO3/FEM1B/POLR1A/NAA16/NEDD4/SF3B3/USP14/TRAPPC6B/FBXO31/CSDE1/AMFR/NCBP3/TAF12/RNF11/CNOT3/POLG2/CNOT1/CUL5/MED1/DCAF8/KLHL21/DCTN1/DCAF4/LAMTOR2/KCTD2/SUPT20H/DCUN1D2/SUGT1/MMS19/CCNF/FBXW8/ELP2/POLR2I/TSNAX/VPS72/MSL1/PSME2/KANSL3/TRAPPC8/ASB2/PRKAR1A/PSMD4/PPP3R1/PSMC4/CBX8/KARS1/FBXL20/ERN1/EME1/OS9/POLR3A/PSMA3/CUL4A/AGO1/APPBP2/RNASEH2C/BORCS5/BAG3/RMND5A/PSMD13/RANBP10/SDF2/MED11/SUPT7L/POLR3C/PCGF5/AMBRA1/TARBP2/EPRS1/RNF19B/DZIP1/IGF2BP1/BRCA1/PRORP/DOCK1/CBX2/DDB2/SOCS7/MBTD1/PSMA4/MUS81/KCTD13/EP400/POLR2G/KEAP1/TUFT1/ANAPC15/POLE/ANAPC16/ZYG11B/BLOC1S2/POLD4/DICER1/ABAT/WDR83OS/MED21/BLOC1S6/CUL2/TAF10/ATXN7L3/ANAPC5/SGF29/STUB1/MTOR/AXIN1/BUB1B/TAF4B/CIAO1/WWP2/LAMTOR5/HPS5/DNA2/KCTD10/UBQLN4/CTNNBIP1/WDR26/PHC2/MEGF8/ERCC2/ELP5/KXD1/EIF4B/POLR2L/UBE2J2/ARNT/KLHL12/PDE3B/UBE4B/CDKN1B/POLR2A"
"GO:0016604","nuclear body",456,0.269041821432232,1.65133931984557,5.0660301414785e-07,9.50724989884132e-05,7.83901506102463e-05,5796,"tags=78%, list=60%, signal=33%","NFE2/APBB1/TLE2/HSPB7/HSPB6/POU2F3/CDC14A/HCFC2/POLE2/ZNF473/PPIE/ACD/DNAAF1/EPC1/NR1D1/SNAPC2/YARS2/NXF1/WT1/OIP5/NRDE2/GPATCH2/FAM76A/DENND1B/CDK2/POMP/SF3A2/SRRM1/TCF12/INTS7/HIKESHI/UBE2I/KNL1/GEMIN6/PRKACA/TIMM50/TELO2/PNN/GTF2B/PPP1R8/RBM15/SNRPA1/SMC6/TOLLIP/PALB2/RBBP6/TMEM179B/SAFB2/RO60/CRTC1/INTS13/NSRP1/SNW1/ZNF470/SRSF8/ASCC1/GATAD2A/CHAMP1/ITGB1BP1/HNRNPU/ZNF638/MRE11/BCAS2/PRPF31/NR2C1/API5/CENPO/ATXN2L/CELF3/PPP4R3A/NSL1/COIL/ARIH1/SFPQ/DGKZ/SRSF10/CACTIN/WBP4/MINDY1/GFI1/UBN1/LUC7L3/NDUFS3/SLTM/ZMYM2/TAF5L/PIAS4/USP7/H2AX/RBM25/TDG/AFF3/RNF6/SART1/HMG20B/FBXL3/NOLC1/XPO1/ZC3H14/NOC3L/CDK12/SRSF2/PSME4/DAPK3/C12orf57/INCENP/E4F1/DDX5/SUZ12/SCAF11/DDX39A/SF1/RBM14/SF3A3/USP36/SRCAP/ALYREF/ZC3H18/SNRNP70/AHCTF1/RB1/ACIN1/CHFR/MBD1/SNAPC5/PLEKHH2/MKI67/CHRNA3/DHX9/ZBTB18/INO80/RFWD3/BMI1/PPP4R3B/SRSF1/RBM19/HNRNPM/AAGAB/C11orf54/DUSP11/CTR9/PRCC/TARDBP/SARNP/PIP5K1A/ARRB1/CXXC1/SF3B2/PTEN/USP15/DDX1/KLHDC2/ZC3H13/CENPT/POLI/U2AF2/DNAJC11/SPAG5/MORF4L1/USPL1/METTL3/SUMO2/PRKAA2/SMNDC1/NMNAT1/PATL1/SRSF4/CBX1/SRSF11/PML/ITPKC/THRAP3/APEX1/ZPR1/PRPF3/DDX42/CDC34/FAM118B/TERF2IP/SNRNP40/ZNF106/DCLRE1B/CDT1/VRK1/PSPC1/SETD1A/CD2BP2/CASC3/EFTUD2/RALBP1/NUP98/CBX4/TP53BP1/COP1/UBE2O/SUDS3/YME1L1/INPPL1/GEMIN2/PRPF18/PCBP1/PPP1CC/KIF22/CHTOP/CREBBP/KAZN/ZBTB1/ZWINT/RPA1/LMNA/NSMCE4A/PABPN1/SRSF5/IGHMBP2/PRPF19/SAP18/PIAS1/ATF7IP/CLK2/SETD1B/BECN1/NCBP3/CLK3/PIN1/SRSF7/SYMPK/YLPM1/REXO1/FLYWCH1/UNC45A/SIRT7/CWC15/NDUFB1/VPS72/NUFIP2/MSL1/SRP54/EIF4A3/SYF2/FIBP/LPXN/NBR1/SRSF9/S100PBP/ARGLU1/PKN2/ANGEL2/PARP1/CIITA/BAZ2A/WAC/CWC25/MKNK2/ELL/NGRN/TPP2/SART3/CPSF6/SRRM2/TUT1/TERF2/AKAP8L/ZNF202/THOC1/TARBP2/FBL/DZIP1/GRK5/CCNL2/BRCA1/FAS/DOCK1/DHX8/RBM8A/CHD5/KCTD13/PARG/ADPRS/ZCCHC8/EP400/DDX20/RNF34/SPRTN/ADAMTS4/SCAPER/GEMIN4/HIPK3/TOE1/ATP6V0A1/HIF1A/ICE2/TRIM16/HOXB7/N4BP1/PRPF40B/SKI/GADD45A/CRY2/MAGOH/ABHD17A/MTOR/FAAP20/THOC6/PRPF8/SDE2/SLF2/NPAT/FAM76B/PAPOLG/HEXIM2/BABAM1/PARK7/RNF111/MYO1C/ARL6IP4/PIAS3/TRIM25/TRIM8/ARNT/SIRT1/BOLA3/UBL5/PARN/SMURF2/SH3BGRL3/YARS1/RPAIN/GON4L/NPHP4/ZFHX3/RBM4/EXO1/MAX/EPB41/ATP8B1/BCL11A/DTX1/RERE/ATMIN/NOP10/LSM10/PCGF2/HP1BP3/EPAS1/ATPAF2/NUDT21/SUGP2/ALKBH5/EAPP/SNURF/FANCL/ZBTB4/RGS10/NCOR2"
"GO:0016607","nuclear speck",226,0.316946233818445,1.84136410839634,1.97768746527125e-06,0.000242051279966833,0.000199578600477468,5108,"tags=77%, list=53%, signal=37%","APBB1/HSPB6/PPIE/DNAAF1/NXF1/WT1/OIP5/NRDE2/GPATCH2/FAM76A/DENND1B/POMP/SF3A2/SRRM1/TCF12/HIKESHI/PRKACA/TIMM50/PNN/PPP1R8/RBM15/SNRPA1/SMC6/PALB2/RBBP6/TMEM179B/NSRP1/SNW1/SRSF8/ASCC1/GATAD2A/HNRNPU/ZNF638/BCAS2/PRPF31/API5/ATXN2L/PPP4R3A/NSL1/SFPQ/DGKZ/SRSF10/CACTIN/WBP4/LUC7L3/TAF5L/H2AX/RBM25/SART1/ZC3H14/NOC3L/CDK12/SRSF2/PSME4/C12orf57/DDX5/DDX39A/RBM14/SF3A3/USP36/ALYREF/ZC3H18/SNRNP70/ACIN1/MBD1/CHRNA3/ZBTB18/PPP4R3B/SRSF1/RBM19/AAGAB/DUSP11/CTR9/PRCC/TARDBP/SARNP/PIP5K1A/CXXC1/SF3B2/ZC3H13/POLI/U2AF2/DNAJC11/MORF4L1/METTL3/PRKAA2/SMNDC1/PATL1/SRSF4/SRSF11/ITPKC/THRAP3/APEX1/PRPF3/DDX42/CDC34/SNRNP40/ZNF106/PSPC1/SETD1A/CD2BP2/CASC3/EFTUD2/CBX4/COP1/INPPL1/PRPF18/PCBP1/PPP1CC/KIF22/CHTOP/KAZN/LMNA/PABPN1/SRSF5/PRPF19/SAP18/PIAS1/CLK2/SETD1B/NCBP3/CLK3/PIN1/SRSF7/YLPM1/UNC45A/SIRT7/CWC15/NDUFB1/VPS72/MSL1/SRP54/EIF4A3/SYF2/FIBP/LPXN/SRSF9/S100PBP/ARGLU1/BAZ2A/WAC/CWC25/ELL/SART3/CPSF6/SRRM2/TUT1/AKAP8L/THOC1/DZIP1/GRK5/CCNL2/DOCK1/RBM8A/CHD5/EP400/RNF34/SPRTN/ADAMTS4/SCAPER/TOE1/ATP6V0A1/HIF1A/PRPF40B/GADD45A/CRY2/MAGOH/ABHD17A/THOC6/PRPF8/SDE2/FAM76B/HEXIM2"
"GO:0098687","chromosomal region",215,0.314050874288382,1.81671589602364,2.14965612759177e-06,0.000242051279966833,0.000199578600477468,5069,"tags=77%, list=52%, signal=37%","TERB1/ZBTB48/ZSCAN4/H4C14/ACD/OIP5/SPC24/TRAPPC12/SUV39H2/NSMCE3/CDK2/BRCA2/ZNF207/KNL1/BAZ1A/SLX4/KNSTRN/TELO2/GTF2B/NCAPD3/CLIP1/SMC6/HELLS/SEH1L/CENPN/CENPL/PPP2R5A/CHAMP1/HNRNPU/MTA2/MRE11/MIS18BP1/GPATCH11/CENPO/NSL1/PTGES3/H2AX/WAPL/SIRT6/XPO1/NGDN/PPP2R1A/KDM1A/DAPK3/SMCHD1/INCENP/CDC20/KAT8/CHMP6/LRIF1/MSH2/CENPX/ZNF276/ALYREF/SMC3/ATM/PPP1R12A/AHCTF1/TPR/XRCC3/ERCC1/KMT5B/MEN1/SKA3/UVRAG/CENPF/CENPT/FBXO28/PAFAH1B1/CTCF/SPAG5/KAT5/H3-3B/DNMT1/CBX1/PML/DCTN2/SMARCA4/PDS5B/MIS12/APEX1/SKA2/PMF1/CDC73/RBBP4/MEAF6/DYNC1LI2/BUB3/DOT1L/TERF2IP/CHEK1/SMG6/DCLRE1B/LIG4/CDT1/KNTC1/FEN1/NUP98/CENPV/TP53BP1/ARID2/ZWILCH/PPP1CC/KIF22/CKAP5/ZWINT/RPA1/SIN3A/NSMCE4A/KIF18A/DDB1/NUP37/NAT10/NUP133/DCTN5/RAD51AP1/CHMP3/MTCL1/CHMP1A/DCTN1/PPP2R5C/TOP2A/PPP1CA/SUGT1/FLYWCH1/KDM4A/NDC80/BIRC5/NEK2/PSEN1/TOX4/UPF1/PARP1/CHMP1B/RCC2/PPP1CB/SIRT2/RAD51D/REC8/TERF2/THOC1/ITGB3BP/PLK1/TEP1/NDEL1/SMARCE1/BRD7/SMARCD1/CDK1/ANAPC16/NUP85/CHD4/DNMT3A/TEN1/LUZP1/SPDYA/AURKB/NUP107/STN1/XRCC1/THOC6/BUB1B/CTC1/DNA2/SLF2"
"GO:0098798","mitochondrial protein-containing complex",101,0.362577759118321,1.92338349424316,2.75061885249455e-05,0.00258099735659072,0.00212811037535104,5187,"tags=86%, list=54%, signal=40%","TOMM20L/MRPL54/TIMM10/MRPS34/MRPL35/NDUFAB1/MRPS12/MRPL19/CLPX/TOMM40/MRPS11/TIMM50/PPIF/MRPL9/MRPL28/AFG3L2/MRPL4/MRPL42/AURKAIP1/MCU/TIMM21/MRPS23/MRPL52/POLRMT/MPV17L2/MRPS5/MRPL30/MRPL27/TOMM40L/SUPV3L1/TIMM8B/MRPL58/MICOS13/MRPL33/TIMM44/MRPL38/POLG/MRPS7/PNPT1/MRPS15/TIMM9/DNAJC11/MRPL12/TIMM23/GADD45GIP1/MRPL34/TIMM22/MRPS31/MRPL37/PAM16/MTX1/ISCA2/MICU1/HADHA/IMMT/ISCU/PTCD3/MRPL11/PHB2/MRPL24/POLG2/MRPS35/MRPL57/MICOS10/DAP3/MRPL20/MRPL46/TIMM29/TIMM13/MICU2/MRPL16/PDSS1/BAX/MRPL43/PRORP/MRPL23/SPG7/MRPL49/MPC2/MRPL45/TOMM20/MRPL48/TIMM17A/NSUN4/DNA2/MRPL17/MRPL21"
"GO:0000775","chromosome, centromeric region",139,0.322170789700582,1.78054450285727,6.71201699502099e-05,0.00539837938313831,0.00445112705985603,5770,"tags=86%, list=60%, signal=35%","H4C14/OIP5/SPC24/TRAPPC12/SUV39H2/ZNF207/KNL1/BAZ1A/KNSTRN/GTF2B/NCAPD3/CLIP1/SMC6/HELLS/SEH1L/CENPN/CENPL/PPP2R5A/CHAMP1/HNRNPU/MIS18BP1/GPATCH11/CENPO/NSL1/WAPL/SIRT6/XPO1/NGDN/PPP2R1A/DAPK3/INCENP/CDC20/KAT8/CHMP6/CENPX/ZNF276/SMC3/PPP1R12A/AHCTF1/TPR/KMT5B/SKA3/UVRAG/CENPF/CENPT/FBXO28/PAFAH1B1/CTCF/SPAG5/KAT5/H3-3B/DNMT1/CBX1/DCTN2/SMARCA4/PDS5B/MIS12/SKA2/PMF1/MEAF6/DYNC1LI2/BUB3/CDT1/KNTC1/NUP98/CENPV/TP53BP1/ARID2/ZWILCH/PPP1CC/KIF22/CKAP5/ZWINT/SIN3A/KIF18A/NUP37/NUP133/DCTN5/CHMP3/MTCL1/CHMP1A/DCTN1/PPP2R5C/TOP2A/SUGT1/FLYWCH1/KDM4A/NDC80/BIRC5/NEK2/PSEN1/CHMP1B/RCC2/REC8/ITGB3BP/PLK1/NDEL1/SMARCE1/BRD7/SMARCD1/ANAPC16/NUP85/DNMT3A/LUZP1/AURKB/NUP107/BUB1B/CHMP4A/CHMP2A/CENPA/ZW10/CFDP1/NUP160/DYNLL1/KDM4D/KIF2C/CENPS/H3-3A/CDCA5/NCAPD2"
"GO:0005681","spliceosomal complex",116,0.342733917067477,1.85422506868308,0.000103217711537115,0.0070213684670571,0.00578933064218413,5146,"tags=83%, list=53%, signal=39%","TSSC4/PPIE/TXNL4B/DHX32/SF3A2/SRRM1/XAB2/CWF19L2/SNIP1/PNN/GCFC2/PPP1R8/SNRPA1/SNRPD1/SNW1/PRPF39/HNRNPH3/LUC7L/HNRNPU/BCAS2/PRPF31/API5/HSPA8/CACTIN/WBP4/YJU2/IVNS1ABP/LUC7L3/SART1/SRSF2/HNRNPR/DDX5/YBX1/HNRNPF/SF1/SF3A3/GPATCH1/ALYREF/SNRNP70/SNRPF/CLNS1A/SRSF1/HNRNPM/PRPF38B/DHX38/SF3B2/U2AF2/SNRPE/USP39/SMNDC1/BUD13/PRPF3/SNRNP200/DDX42/SNRNP40/RBM17/CASC3/EFTUD2/MFAP1/GEMIN2/PRPF18/MAGOHB/TXNL4A/SNRNP35/DDX23/PRPF19/SF3B3/SF3B6/HNRNPA1L2/WDR83/ADAR/CWC15/EIF4A3/SYF2/HNRNPC/UPF1/DNAJC17/WAC/LSM7/CWC25/SRRM2/HNRNPA1/SNRPA/RBMXL1/DHX8/RBM8A/PDCD7/SNRNP25/ZCCHC8/PRPF40B/SUGP1/MAGOH/CWF19L1/PRPF8/ZCRB1/PRPF38A"
"GO:0005740","mitochondrial envelope",414,0.25132423279925,1.53656234222956,0.000112242124695407,0.0070213684670571,0.00578933064218413,5776,"tags=76%, list=60%, signal=32%","REEP1/CYP11A1/SLC8A3/TMEM160/CIDEA/NME3/VAMP1/MAPK8IP1/MIEF2/TOMM20L/MRPL54/ATAD3B/NDUFAF1/TIMM10/SNN/LPIN1/PGS1/PEMT/ANGEL1/NDUFA3/MRPS34/MRPL35/C11orf65/NDUFAB1/QTRT1/L2HGDH/SORD/MUL1/MRPS12/MRPL19/BCL2A1/COX10/THOP1/LDHD/NDUFC2/CLPX/TOMM40/CISD1/MRPS11/TIMM50/PPIF/SDHB/MRPL9/COQ6/MRPL28/MYO19/NDUFC2-KCTD14/DARS2/SLC25A10/COX11/AFG3L2/MRPL4/ATAD1/CNP/FOXRED1/NDUFS7/MRPL42/MTARC1/SLC25A42/AURKAIP1/MCU/ATP5F1C/COA4/COA7/TIMM21/MRPS23/ULK1/MRPL52/ATAD3A/RPS6KB1/MPV17L2/MRPS5/MRPL30/DHODH/NDUFS3/DIABLO/ERAL1/MRPL27/FLVCR1/TOMM40L/TIMM8B/NDUFA7/VDAC2/CIAPIN1/MRPL58/VRK2/COA6/CEBPZOS/CEP89/SYNJ2BP/RMDN3/MGST1/MICOS13/AKT1/TYMS/MRPL33/GHITM/NDUFB7/TIMM44/MRPL38/SPART/ATXN3/ABCB10/TWNK/C19orf12/VPS13C/PPP1R15A/COX15/MRPS7/KRAS/SLC25A21/SQOR/DMAC2L/BLOC1S1/SFXN5/PNPT1/GFER/UQCC3/EXD2/MRPS15/TMEM223/SCO1/SLC25A24/TIMM9/RHOT1/SLC25A39/DNAJC11/MRPL12/TIMM23/SLC25A3/GADD45GIP1/MRPL34/SLC25A19/TIMM22/MRPS31/FKBP8/MRPL37/PAM16/COX5B/CYB5B/RDH13/COA8/ATP5F1A/MTX1/ATPAF1/NDUFS2/SLC44A2/COX7A2L/SLC39A9/CLPB/UBA52/SFXN3/PTPMT1/ATP5PD/ATP5F1B/NDUFB10/MICU1/PRELID3A/ATP5MG/HADHA/IMMT/MTG1/TIGAR/NME4/ATP5PB/YME1L1/PINK1/PLA2G4B/RAB11FIP5/RHOT2/PPP1CC/PDE2A/PTCD3/PRODH2/BAD/MRPL11/REXO2/COX16/PHB2/PRKCA/MRPL24/BECN1/TUFM/PMAIP1/DNM1L/USP30/DEGS1/SARM1/MRPS35/SLC25A22/COASY/MRPL57/MICOS10/DAP3/HK1/PI4KB/MRPL20/GRK2/STARD7/NDUFB1/NDUFA9/UQCRC2/MRPL46/TIMM29/NDUFV1/TMCO1/NBR1/TIMM13/MICU2/PSEN1/PLD6/TRAP1/FDXR/MGST3/NDUFS5/SLC25A29/MRPL16/NDUFV2/COA3/DMPK/SLC25A15/BMF/YWHAE/PDSS1/SLC25A11/NGRN/SLC25A47/BAX/COX4I1/ECSIT/AKAP1/HAX1/STARD13/PTRH2/AMBRA1/ACADM/MRPL43/UCP3/MRPL23/VAT1/MTCH2/SPG7/MCL1/FECH/NDUFA11/MRPL49/MPC2/TMEM186/TMEM11/MRPL45/SPIRE1/TMX1/MTFR1L/TOMM20/COX5A/UBB/MRPL48/TIMM17A/UQCRFS1/MTOR/UQCR11/COQ9/UBC/PGAM5/SLC29A3/COX20/UCP2/NDUFA13/MFN2/PARK7/TTC19/MRPL17/MRPL21/SDHD/SLC25A33/UQCRH/MSTO1/SUOX/ACACB/SH3GLB1/SLC25A28/COX6A1/FKBP10/AIFM2/SFXN4/CYB5A/MAP1LC3B/MARCHF5/CHCHD1/ARL2BP/BCL2L2/HADHB/SELENON/SPNS1/MPV17/SPHK2/ATP5MC1/LETMD1/MRPS14/IMMP1L/OMA1/ARL2/ALDH18A1/ATPAF2/OXA1L/MTARC2/RPS3/COQ7/MRPL53/UBIAD1/ATP5MC2/TRIAP1/PET100"
"GO:0005635","nuclear envelope",253,0.27321835608537,1.602170367988,0.000180247930759117,0.00996628121349939,0.00821750026204212,4301,"tags=60%, list=44%, signal=35%","NRXN1/IRAG2/NUP210L/TMC8/TERB1/PRICKLE1/NR4A1/EPC1/GHDC/NXF1/LPIN1/SYNE4/CC2D1B/SPAST/CDK2/NDC1/OIT3/CEP128/TMEM38A/TMEM120B/NEMP1/SREBF1/PCID2/UBE2I/DHX37/TOR1AIP1/ZNF224/UTP18/GCH1/VAPA/RTN4/TM7SF2/POLR2M/RBM15/BNIP2/RGPD1/C12orf43/PHF11/FZR1/SEH1L/SNUPN/TOR3A/MRPS23/CPTP/MINDY3/CDK4/PUM2/PARP16/MTMR6/KPNB1/ANXA11/TMPO/TMC6/INTS2/RNF6/XPO1/XPOT/VRK2/BRAP/IPO8/CHMP6/UNC50/AKIRIN1/CCAR1/TMEM18/SYNE2/CEPT1/TAF3/TYRO3/RRP12/NPC1/NUP93/WDR3/AHCTF1/XPO4/LMNB2/RAB40B/BROX/TPR/QRICH2/YEATS4/SRSF1/TEX2/OSBPL8/KLHDC2/CENPF/PAFAH1B1/TMEM201/NOC4L/LRRC59/TMEM53/MNS1/NPIPB3/IPO7/GAPDH/PML/GTPBP4/KPNA2/NUP88/EIF5A/RAN/DDX19B/SLC30A1/RETSAT/CASC3/NUP98/CENPV/ZMPSTE24/TOR1AIP2/LEMD3/GOLT1A/LMO7/ZBTB1/LMNA/CUEDC2/MLX/NUP37/IPO5/NUP133/RNF43/CEP131/DCTN5/EI24/CHMP3/CHMP1A/NUTF2/SEPHS1/CALR/BANF1/DCTN1/VPS4B/KPNA3/MVP/LRPPRC/GPX4/NUCB2/LBR/CMTM3/HACD3/RRM1/NUP62/PSEN1/PRKCZ/MGST3/ERN1/PARP1/DMPK/CHMP1B/SYNE3/ENO1/S100A6/BRIP1/MACO1"
