Geneid,GroupA_1,GroupA_2,GroupA_3,GroupB_1,GroupB_2,GroupB_3,foldchange,pvalue
SAMD11,176,221,197,267,223,384,0.804691873,0.275273169
NOC2L,7765,9849,8465,12931,9791,14300,0.987712092,0.583687005
KLHL17,117,138,123,184,148,184,1.000489418,0.988122085
PLEKHN1,240,314,284,359,310,389,1.074607557,0.052461639
PERM1,54,58,30,72,55,73,0.983646157,0.540411916
HES4,73,122,74,106,103,123,0.968116784,0.342761898
ISG15,299,422,332,482,382,614,0.974608186,0.50979697
AGRN,1836,2721,2184,3007,2358,3686,0.984990083,0.560902226
RNF223,0,2,0,2,2,2,1.078718018,0.042176436
C1orf159,34,50,47,100,70,57,1.011702008,0.790377252
TTLL10,2,0,0,0,0,2,1.067763565,0.191986212
SDF4,5340,7269,5543,8487,6382,10336,1.0037641,0.835754716
B3GALT6,162,179,166,237,195,297,0.942406539,0.118284442
C1QTNF12,0,0,0,3,0,4,1.016063554,0.588888029
UBE2J2,1467,1858,1915,2354,1766,2861,0.988320925,0.76932714
SCNN1D,8,10,0,6,8,8,0.979934098,0.674558775
ACAP3,966,1388,1046,1574,1175,1623,0.926733465,0.05157256
PUSL1,122,147,112,155,119,271,1.08912552,0.024402979
INTS11,958,1258,1059,1661,1192,1929,0.616113004,2.20825E-05
CPTP,120,190,162,235,181,253,0.100878149,2.97612E-08
TAS1R3,2,4,1,11,0,6,1.100807145,0.429243983
DVL1,1257,1713,1306,2094,1616,2042,0.995771212,0.814746836
MXRA8,397,480,318,511,410,611,0.987485589,0.559208601
AURKAIP1,2251,2822,2624,3536,2910,4614,1.096837342,0.094229788
CCNL2,2422,3271,2576,3649,2936,4483,0.66886075,0.019260622
MRPL20,1074,1408,1271,1697,1306,2145,0.738343692,4.0314E-06
ANKRD65,461,712,642,840,598,1119,1.085438912,0.118125532
TMEM88B,3,2,14,11,9,32,0.997100753,0.905169921
VWA1,846,1145,1088,1497,1024,1869,0.960596903,0.501263725
ATAD3C,78,95,89,105,59,131,1.001972478,0.942033885
ATAD3B,1642,2137,1644,2880,2217,3045,0.996279295,0.863801181
ATAD3A,4922,6122,5166,7877,6032,8972,1.121447975,0.060143927
TMEM240,0,0,2,2,2,4,0.987131959,0.611487851
SSU72,2005,2640,2105,3258,2535,3893,1.021757847,0.579641523
FNDC10,8,8,4,16,6,28,2.880480987,2.6767E-10
MIB2,201,268,252,365,249,415,0.998964321,0.965557465
MMP23B,6,9,2,0,6,16,0.997448425,0.925882373
CDK11B,11480,15162,13826,19727,14472,21816,0.896568899,0.031877173
SLC35E2B,361,399,313,501,371,636,1.051428611,0.119428937
CDK11A,6691,8880,7537,11059,8171,12129,2.145231352,1.86747E-15
SLC35E2A,84,111,94,156,108,171,0.982750795,0.479740707
NADK,937,1193,1066,1555,1093,1827,0.987334841,0.70818586
GNB1,12761,17731,15622,22165,16875,23806,1.135791115,0.491063755
CALML6,2,4,10,6,0,4,0.587428362,2.0621E-16
TMEM52,40,31,24,28,20,65,1.015413131,0.691149883
CFAP74,25,66,41,60,35,78,1.032937238,0.345691914
GABRD,2,0,1,2,0,1,1.044659713,0.225618033
PRKCZ,1117,1626,1111,1678,1453,2015,1.17339308,0.718866525
FAAP20,409,612,437,637,497,835,1.076248715,0.156043328
SKI,1234,1893,1480,2126,1518,2649,0.955046303,0.305667948
MORN1,222,275,257,346,238,333,1.034778261,0.36161463
RER1,983,1382,1150,1603,1214,1918,1.146983523,0.280126183
PEX10,508,683,576,706,592,916,0.947671975,0.051346051
PLCH2,63,106,27,85,76,56,0.972159301,0.287729825
PANK4,281,354,318,450,334,523,0.993452302,0.910686996
HES5,3,2,4,0,4,2,1.028038403,1
TNFRSF14,106,186,111,162,125,211,0.980153412,0.583005583
PRXL2B,262,358,300,396,254,468,0.960665142,0.414537922
MMEL1,31,40,40,49,34,60,1.041342752,0.452724046
TTC34,2,2,0,2,0,0,0.937248404,0.21788579
PRDM16,20,47,30,55,42,50,0.995869911,0.870281702
ARHGEF16,337,479,412,527,374,713,0.975335515,0.509275964
MEGF6,384,585,401,622,530,640,1.062969052,0.100188242
TPRG1L,570,820,636,894,757,1086,1.262459852,0.003971011
WRAP73,149,218,206,302,211,350,0.833836458,0.00531444
TP73,36,39,11,59,30,38,1.103963363,1
CCDC27,9,15,4,6,6,18,0.976735802,0.446344413
SMIM1,61,122,110,125,102,198,0.987172283,0.624436584
LRRC47,928,1295,1125,1684,1232,1919,0.96923584,0.513646583
CEP104,2000,2454,2149,3209,2420,3473,0.870323219,7.95983E-05
DFFB,214,248,232,288,188,393,1.006309673,0.862530635
C1orf174,96,162,101,240,124,288,1.385807857,0.365180389
AJAP1,0,6,2,2,2,2,0.95481766,0.166313326
NPHP4,91,156,154,178,143,205,0.993275679,0.75943757
KCNAB2,182,273,164,294,238,318,1.505022048,0.002192024
CHD5,48,40,44,72,38,84,1.045904901,0.153992344
AL031847.1,25023,32273,31347,41432,30469,54230,2.102924591,2.09887E-06
RPL22,26472,34344,33113,43905,32429,57491,1.310973805,0.00677579
RNF207,114,134,133,166,125,217,1.093559862,0.885576584
ICMT,566,800,696,942,732,1264,0.96058053,0.238999654
HES3,0,0,0,2,2,4,0.81680897,0.646180806
GPR153,10,14,6,14,4,13,0.752791638,0.211334583
ACOT7,952,1261,957,1535,1178,1896,1.004896072,0.885492648
HES2,178,201,186,320,253,344,6.205429841,2.83932E-18
ESPN,736,1408,1251,1372,814,1813,0.993562383,0.793782857
TNFRSF25,18,28,25,39,10,25,1.04280739,0.115482345
PLEKHG5,782,1063,740,1275,1032,1271,1.005899746,0.86755841
NOL9,358,471,413,629,458,576,0.997662613,0.922241214
TAS1R1,4,8,12,6,11,10,0.995533999,0.871750614
ZBTB48,90,119,117,166,134,226,0.48764893,5.65214E-05
KLHL21,532,747,592,922,674,922,0.969252071,0.417978553
PHF13,209,284,325,332,246,428,1.025421565,0.404836241
THAP3,291,352,290,393,311,517,1.001807498,0.931015554
DNAJC11,4437,5952,5132,7433,5682,8220,1.014402507,0.617513539
CAMTA1,740,955,971,1195,897,1641,0.979563796,0.614810549
VAMP3,728,1108,910,1197,900,1442,1.026239447,0.362461542
PER3,128,192,146,188,142,316,1.006880575,0.81973501
UTS2,1,8,10,6,16,24,0.987703126,0.652457383
TNFRSF9,4,0,0,0,2,0,1.033192377,0.339544497
PARK7,4446,5972,4893,6948,5032,8729,0.997274924,0.938368309
ERRFI1,5172,6999,4324,6860,5875,6616,0.878181081,0.006003576
SLC45A1,0,4,0,0,8,0,0.98532934,0.646718078
RERE,4442,5654,4336,6554,5054,7046,0.975498617,0.413913793
ENO1,37562,52659,40663,61885,46405,66522,1.019962504,0.488345225
SLC2A5,0,4,0,0,2,2,0.970181795,0.377197001
GPR157,307,406,304,420,332,432,0.944185213,0.281413724
H6PD,557,792,542,868,615,906,1.125278783,0.010752764
SPSB1,338,429,290,506,431,385,0.961823357,0.385148775
SLC25A33,740,1134,1240,1425,983,1926,0.972285368,0.297352364
TMEM201,122,168,153,230,163,216,0.8242624,0.054319967
PIK3CD,225,331,212,310,279,391,0.32359335,4.05448E-05
CLSTN1,3041,4112,3672,4966,3522,6218,0.988465456,0.652316192
CTNNBIP1,2370,3383,2701,3620,2928,4742,0.941554607,0.410910408
LZIC,2998,4144,3601,5079,3933,6414,1.030992724,0.40090759
NMNAT1,427,677,583,785,632,908,0.988320843,0.688419499
RBP7,30,38,22,22,14,46,0.999880014,0.996974257
UBE4B,834,1241,1069,1445,1008,1837,0.966645577,0.254792053
KIF1B,3957,5140,4100,5910,4704,6970,0.53331368,3.03927E-19
PGD,7310,9837,9171,12709,9699,15780,0.996177851,0.890451904
CENPS-CORT,627,927,804,1077,747,1357,0.882766475,0.062896699
CENPS,627,934,800,1076,751,1354,0.995571201,0.880218692
CORT,16,27,34,22,18,33,0.926087767,0.095407115
DFFA,1229,2017,1334,1973,1710,2185,1.237439309,0.23853388
PEX14,726,1044,872,1172,914,1278,1.019432134,0.670056473
CASZ1,235,333,227,377,281,442,1.260139471,0.003884962
C1orf127,0,2,0,0,0,2,1.008401041,0.736206198
TARDBP,8025,10909,10293,14261,10107,17169,1.061521888,0.189305215
AL109811.3,4905,6486,6128,8660,6204,10338,1.029612105,0.354026516
MASP2,63,143,101,119,99,216,1.005718536,0.808362117
SRM,1270,1528,1241,1829,1414,2073,1.054888686,0.45839917
EXOSC10,3065,3707,3328,4940,3702,5700,0.990094809,0.730799659
MTOR,2062,2720,2226,3174,2484,3539,0.895377987,0.09472304
ANGPTL7,0,0,0,0,0,4,1.008241065,0.822697855
UBIAD1,253,325,230,361,288,388,0.970562994,0.281642546
DISP3,2,8,4,2,2,0,1.002364619,0.948810745
FBXO2,4206,6089,5433,7442,5442,9257,0.994113666,0.801303871
FBXO44,1660,2437,2214,2961,2188,3732,1.005267715,0.834219996
FBXO6,22,33,31,23,29,66,0.985315232,0.819056469
MAD2L2,358,498,494,618,514,780,0.729799319,0.003213583
DRAXIN,2,5,4,7,6,5,0.985704774,0.762145416
AGTRAP,50,72,52,68,52,80,1.014575091,0.551691828
