"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000940","outer kinetochore","11/936","23/28779",0.478260869565217,14.704988851728,12.0555931188679,3.84292691780711e-11,2.0021649241775e-08,1.77988194087908e-08,"Bub1/Plk1/Ska1/Dsn1/Spc24/Knl1/Cenpf/Ska3/Cenpe/Ccnb1/Ccnb1-ps",11
"GO:0000779","condensed chromosome, centromeric region","26/936","185/28779",0.140540540540541,4.32117117117117,8.30902148671803,3.76299849045371e-10,7.80177700070672e-08,6.9356134565329e-08,"Birc5/Bub1/Nek2/Plk1/Aurkb/Ttk/Nudcd2/Ncapg/Cenpp/Ska1/Cenpm/Dsn1/Spc24/Itgb3bp/Zwilch/Nup43/Sgo1/Kif2c/Knl1/Cenpi/Cenpf/Kntc1/Ska3/Cenpe/Ccnb1/Ccnb1-ps",26
"GO:0000776","kinetochore","25/936","173/28779",0.144508670520231,4.44317844968134,8.32845091859079,4.49238598889063e-10,7.80177700070672e-08,6.9356134565329e-08,"Birc5/Bub1/Nek2/Plk1/Aurkb/Ttk/Nudcd2/Cenpp/Ska1/Cenpm/Dsn1/Spc24/Itgb3bp/Zwilch/Nup43/Sgo1/Kif2c/Knl1/Cenpi/Cenpf/Kntc1/Ska3/Cenpe/Ccnb1/Ccnb1-ps",25
"GO:0000793","condensed chromosome","35/936","341/28779",0.102639296187683,3.1558293856681,7.34264052280596,2.44454633605936e-09,3.18402160271732e-07,2.83052733648979e-07,"Birc5/Brca1/Bub1/Chek1/Nek2/Plk1/Psmc3ip/Rad51/Aurkb/Ttk/Ttn/Nudcd2/Ncapg/Cenpp/Eid3/Ska1/Cenpm/Dsn1/Spc24/Itgb3bp/Zwilch/Nup43/Syce2/Sgo1/Kif2c/Ncapg2/Knl1/Cenpi/Cenpf/Kntc1/Ska3/Cenpe/Ccnb1ip1/Ccnb1/Ccnb1-ps",35
"GO:0098687","chromosomal region","37/936","390/28779",0.0948717948717949,2.91700361604208,6.98860352605698,7.34039035787477e-09,7.64868675290551e-07,6.79951948939978e-07,"Birc5/Bub1/Chek1/Nek2/Orc1/Plk1/Rad51/Rad51ap1/Snai1/Aurkb/Tert/Ttk/Nudcd2/Ncapg/Rnf8/Suv39h2/Cenpp/Eid3/Ska1/Cenpm/Dsn1/Spc24/Itgb3bp/Zwilch/Nup43/Sgo1/Kif2c/Knl1/Cenpi/Cenpf/Pif1/Kntc1/Ska3/Cenpe/Ccnb1/H2bc21/Ccnb1-ps",37
"GO:0000775","chromosome, centromeric region","29/936","269/28779",0.107806691449814,3.31471022781432,6.99333571071278,1.90994123700875e-08,1.6584656408026e-06,1.47434060400675e-06,"Birc5/Bub1/Nek2/Plk1/Snai1/Aurkb/Ttk/Nudcd2/Ncapg/Suv39h2/Cenpp/Ska1/Cenpm/Dsn1/Spc24/Itgb3bp/Zwilch/Nup43/Sgo1/Kif2c/Knl1/Cenpi/Cenpf/Kntc1/Ska3/Cenpe/Ccnb1/H2bc21/Ccnb1-ps",29
"GO:0005819","spindle","38/936","435/28779",0.0873563218390805,2.6859269083407,6.49625427926801,4.22734240450244e-08,3.14635056106539e-06,2.79703858343019e-06,"Birc5/Aspm/Ccna1/Cttn/Nek2/Plk1/Kif20a/Rps6ka2/Shcbp1/Aurkb/Tubb2a/Tubb3/Cdc6/Nudcd2/Psrc1/Sac3d1/Ska1/Dsn1/Fbxo5/Tubb6/Kif18b/Ckap2l/Sgo1/Tubb2b/Kif2c/Map10/Cfap53/Trat1/Cenpf/Kntc1/Ttc28/Dlgap5/Ska3/Cenpe/Ccnb1/Map7d3/Kif14/Ccnb1-ps",38
"GO:0051233","spindle midzone","9/936","40/28779",0.225,6.91802884615385,6.86722792502608,4.3248785208294e-06,0.000262356404928117,0.000233229251779718,"Cttn/Plk1/Aurkb/Cdc6/Kif18b/Map10/Ttc28/Cenpe/Kif14",9
"GO:1990023","mitotic spindle midzone","6/936","15/28779",0.4,12.2987179487179,8.0252832883714,4.53206841526498e-06,0.000262356404928117,0.000233229251779718,"Cttn/Aurkb/Kif18b/Map10/Ttc28/Cenpe",6
"GO:0072686","mitotic spindle","19/936","180/28779",0.105555555555556,3.24549501424501,5.54093605977333,7.10801696232208e-06,0.000370327683736981,0.000329213417202286,"Aspm/Cttn/Plk1/Aurkb/Tubb2a/Tubb3/Cdc6/Nudcd2/Ska1/Tubb6/Kif18b/Ckap2l/Tubb2b/Map10/Trat1/Ttc28/Dlgap5/Ska3/Cenpe",19
"GO:0000922","spindle pole","18/936","184/28779",0.0978260869565217,3.00783862876254,5.00959804999623,3.44451825748982e-05,0.00163144910195654,0.00145032347683782,"Aspm/Nek2/Plk1/Aurkb/Cdc6/Nudcd2/Psrc1/Dsn1/Ckap2l/Sgo1/Map10/Cfap53/Cenpf/Kntc1/Ttc28/Dlgap5/Ccnb1/Ccnb1-ps",18
"GO:0005874","microtubule","32/936","489/28779",0.065439672801636,2.01206019610928,4.13861011839461,0.000164373828752498,0.00713656373167094,0.00634425303957008,"Birc5/Aspm/Kif5a/Kif9/Map1a/Map1b/Map6/Nek2/Plk1/Kif20a/Aurkb/Tubb2a/Tubb3/Arl6/Psrc1/Ska1/Ribc1/Tubb6/Kif18b/Tubb2b/Kif2c/Map10/Cfap53/Clip3/Clip4/Kntc1/Nav1/Ska3/Reep2/Cenpe/Eml6/Kif14",32
"GO:0045171","intercellular bridge","11/936","101/28779",0.108910891089109,3.34866082762122,4.33527624348253,0.000449074099532515,0.0176586628245267,0.0156981748515845,"Gstm4/Kif20a/Tubb2a/Tubb3/Cdc6/Nudcd2/Ska1/Tubb6/Tubb2b/Cenpe/Rbm44",11
"GO:0072687","meiotic spindle","5/936","21/28779",0.238095238095238,7.32066544566544,5.31255361581448,0.00047451301255926,0.0176586628245267,0.0156981748515845,"Aspm/Rps6ka2/Ska1/Fbxo5/Ska3",5
"GO:0031594","neuromuscular junction","11/936","111/28779",0.0990990990990991,3.04697967197967,3.9617451607924,0.000997880950307962,0.0342522139255572,0.0304494880841402,"Chrnb1/Adora3/Ank3/Cdk5r1/Cxadr/Nefl/Rapsn/Syp/Unc13b/Dlg2/Sv2a",11
"GO:0005876","spindle microtubule","9/936","79/28779",0.113924050632911,3.5027994157741,4.08421745444465,0.00105189140654302,0.0342522139255572,0.0304494880841402,"Birc5/Plk1/Aurkb/Psrc1/Ska1/Kif18b/Kntc1/Ska3/Cenpe",9
"GO:0005657","replication fork","9/936","81/28779",0.111111111111111,3.41631054131054,3.99281930962987,0.00125888897583069,0.0385812444945757,0.03429790398548,"Chek1/Uhrf1/Rad51b/Timeless/Mcm10/Xrcc3/Rfc4/Zranb3/Brip1",9
"GO:0000228","nuclear chromosome","20/936","295/28779",0.0677966101694915,2.0845284658844,3.43290424564954,0.00171709196501737,0.0497002729874473,0.0441824833103886,"Birc5/Brca1/Chek1/Nek2/Orc1/Plk1/Pole/Pole2/Psmc3ip/Rad51/Timeless/Ttn/Zbtb32/Gins1/Mcm10/Syce2/Ncapg2/Zranb3/Ccnb1ip1/Gins2",20
"GO:0097730","non-motile cilium","14/936","177/28779",0.0790960451977401,2.43194987686513,3.50369637053803,0.00202243243201892,0.055457226162203,0.0493002919716523,"Map1a/Map1b/Ptprk/Stx3/Ift88/Ush2a/Dnaaf4/Rsph9/Ttc8/Ift122/Glis2/Cerkl/Nphp4/Sptbn5",14
"GO:0097733","photoreceptor cell cilium","11/936","122/28779",0.0901639344262295,2.77225199663724,3.59666710257765,0.00214678477844009,0.0559237434783643,0.0497150159217704,"Map1a/Map1b/Ptprk/Stx3/Ift88/Ush2a/Ttc8/Ift122/Cerkl/Nphp4/Sptbn5",11
"GO:0000939","inner kinetochore","4/936","18/28779",0.222222222222222,6.83262108262108,4.5384571524241,0.00236246706190576,0.0586116828215666,0.0521045367036858,"Cenpp/Cenpm/Itgb3bp/Cenpi",4
"GO:0000307","cyclin-dependent protein kinase holoenzyme complex","7/936","58/28779",0.120689655172414,3.71082007073386,3.78900453921832,0.00267222055361718,0.0632830412924796,0.0562572748129933,"Ccna1/Ccna2/Ccnb2/Ccnf/Cdk5r1/Ccnb1/Ccnb1-ps",7
"GO:0043194","axon initial segment","5/936","31/28779",0.161290322580645,4.95916046319272,4.0438063277922,0.00302839804894211,0.0657414743124516,0.0584427693655495,"Ank3/Kcna2/Map1a/Dlg2/Nav1",5
