"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042605","peptide antigen binding","17/929","78/28366",0.217948717948718,6.65482597775386,9.20229949225994,4.7710286633502e-10,4.51339311552929e-07,4.11312892135138e-07,"H2-T3/Trav14n-2/H2-M5/Trav7d-4/Trav7-4/Trav14-1/Trav15-2-dv6-2/Trav14-3/Trbv1/Trav7-2/Trav14d-3-dv8/Trav7n-4/Trav14-2/Trav7-1/Trav14n-1/Trav14n-3/Trbv29",17
"GO:0008017","microtubule binding","26/929","277/28366",0.0938628158844765,2.86599853108618,5.7426716115115,1.70423626813679e-06,0.0008061037548287,0.000734615528212646,"Birc5/Kif5a/Kif9/Map1a/Map1b/Map6/Plk1/Kif20a/Hdgfl3/Psrc1/Ska1/Spc24/Kif18b/Kif2c/Map10/Knl1/Clip3/Clip4/Mtus1/Dlgap5/Ska3/Reep2/Cenpe/Eml6/Map7d3/Kif14",26
"GO:0050839","cell adhesion molecule binding","26/929","313/28366",0.0830670926517572,2.53636291728713,5.02929682888828,1.54824415060637e-05,0.00488212988824543,0.00444916476963727,"Ank3/Cd1d2/Cd9/Cdh17/Cdk5r1/Col3a1/Cxadr/Dmd/Icam2/Itga5/Epcam/Mmp14/Cd200/Sell/Sema7a/Cd40lg/Ccn4/Ctnnal1/Tspan4/Izumo1r/Tmigd1/Icam4/Npnt/Itgb4/Akap5/Itgb8",26
"GO:0015631","tubulin binding","29/929","393/28366",0.0737913486005089,2.2531382071066,4.60316628114153,4.66435722230755e-05,0.0082699781833017,0.00753656629812406,"Birc5/Kif5a/Kif9/Map1a/Map1b/Map6/Plk1/Kif20a/Hdgfl3/Rab11fip5/Psrc1/Ska1/Spc24/Kif18b/Kif2c/Map10/Agbl3/Knl1/Clip3/Clip4/Rita1/Mtus1/Dlgap5/Ska3/Reep2/Cenpe/Eml6/Map7d3/Kif14",29
"GO:0004536","DNA nuclease activity","10/929","65/28366",0.153846153846154,4.69752421959096,5.4915855597464,4.73190916193633e-05,0.0082699781833017,0.00753656629812406,"Endog/Pole/Exo1/Tatdn1/Xrcc3/Polq/Gen1/Zranb3/Ankle1/Endov",10
"GO:0005178","integrin binding","16/929","155/28366",0.103225806451613,3.15188721830619,4.94318715735855,5.24522929173469e-05,0.0082699781833017,0.00753656629812406,"Cd9/Cdh17/Col3a1/Cxadr/Dmd/Icam2/Itga5/Mmp14/Sema7a/Cd40lg/Ccn4/Tspan4/Icam4/Npnt/Itgb4/Itgb8",16
"GO:0004520","DNA endonuclease activity","8/929","43/28366",0.186046511627907,5.68072696322627,5.65208714768534,6.72873076137064e-05,0.00909339900036661,0.00828696314821437,"Endog/Exo1/Xrcc3/Polq/Gen1/Zranb3/Ankle1/Endov",8
"GO:0042277","peptide binding","24/929","307/28366",0.0781758957654723,2.38701556435241,4.496197367917,8.46961430631824e-05,0.00990883547458898,0.00903008373616154,"Apbb2/Cd36/H2-T3/Cd74/Pparg/Tubb3/Trav14n-2/Mrgprb1/H2-M5/Gprasp2/Trav7d-4/Trav7-4/Trav14-1/Trav15-2-dv6-2/Trav14-3/Trbv1/Trav7-2/Trav14d-3-dv8/Trav7n-4/Trav14-2/Trav7-1/Trav14n-1/Trav14n-3/Trbv29",24
"GO:0001217","DNA-binding transcription repressor activity","24/929","310/28366",0.0774193548387097,2.36391541372964,4.44310265251692,9.84288827171951e-05,0.00990883547458898,0.00903008373616154,"Eomes/Foxq1/Klf12/Klf3/Mxd3/Pou6f1/Pparg/Foxp3/Snai1/Zfp239/Creb3l1/E2f7/Insm1/Gtf2ird1/Zbtb32/Nacc2/E2f8/Zfp976/Samd11/Zfp418/Zfp973/Zfp970/Zfp442/Gm3604",24
"GO:0003823","antigen binding","19/929","217/28366",0.0875576036866359,2.67347576552757,4.5535357250731,0.000104744561042167,0.00990883547458898,0.00903008373616154,"Cd1d2/H2-T3/Tspan4/Trav14n-2/H2-M5/Trav7d-4/Trav7-4/Trav14-1/Trav15-2-dv6-2/Trav14-3/Trbv1/Trav7-2/Trav14d-3-dv8/Trav7n-4/Trav14-2/Trav7-1/Trav14n-1/Trav14n-3/Trbv29",19
