Gene names,LFQ intensity HeLa_1,LFQ intensity HeLa_2,LFQ intensity HeLa_3,LFQ intensity HeLa_4,N: Intensity,(-log10),P-value,FC,FC2
SBNO1,0.55336,1.13001,-0.841685,-0.841685,521830,1.55121,0.028105415,3.211773155,1.68337
SNAP23,0.811037,0.903567,-1.02441,-0.690189,1241000,1.99684,0.010073027,3.28205633,1.7146
DNM1L,0.693099,1.00674,-1.02509,-0.674742,14081000,1.7305,0.018599446,3.248649279,1.69984
RTCA,-0.86592,-0.86592,0.84681,0.88503,938390,3.91457,0.000121739,0.301067733,-1.73184
NHERF1,1.12003,0.55022,-0.680304,-0.989942,8089300,1.44754,0.035682888,3.182697407,1.67025
HAT1,0.650506,1.03217,-0.622501,-1.06017,12097000,1.54503,0.028508213,3.210215171,1.68267
PRORP,0.809699,0.920577,-0.865138,-0.865138,444780,2.98927,0.001025014,3.317922067,1.73028
HMGB3,0.795723,0.933582,-0.864653,-0.864653,4311800,2.79997,0.001585003,3.315692003,1.72931
P4HA2,-0.860118,-0.860118,1.00293,0.717304,914260,2.1661,0.006821816,0.303498228,-1.72024
RNMT,-1.03202,-0.65926,1.03284,0.658446,4881200,1.62825,0.02353694,0.309652071,-1.69128
PSMD3,0.552575,1.1198,-0.981621,-0.690751,12158000,1.46274,0.034455615,3.187377729,1.67237
ZFC3H1,0.444545,1.2025,-0.823522,-0.823522,399120,1.3091,0.049079485,3.131904019,1.64704
PQBP1,-0.864887,-0.864887,0.927655,0.802119,556550,2.88136,0.001314135,0.301500019,-1.72977
TIMM17B,-0.826696,-0.826696,0.461804,1.19159,865780,1.34282,0.04541298,0.317892305,-1.65339
PEX14,0.973316,0.70697,-1.10582,-0.574465,3260500,1.52452,0.02988684,3.204923676,1.68029
SLC25A12,-0.858449,-0.858449,0.696794,1.0201,931550,2.05804,0.008749032,0.304201675,-1.7169
ATP6AP2,0.550179,1.13226,-0.841218,-0.841218,1089500,1.54295,0.028645077,3.209703427,1.68244
ARL6IP5,1.14375,0.533722,-0.838739,-0.838739,1877500,1.50158,0.031507939,3.198687382,1.67748
LETM1,1.00607,0.692729,-0.669152,-1.02965,5845000,1.71678,0.019196409,3.246308259,1.6988
ZRANB2,0.7892,0.939583,-0.864392,-0.864392,911270,2.72437,0.001886384,3.314474147,1.72878
LYPLA2,0.763116,0.96315,-0.863133,-0.863133,2295900,2.47625,0.003340027,3.308712641,1.72627
CEP43,0.725076,0.996322,-0.860699,-0.860699,337290,2.21112,0.006150069,3.297562492,1.7214
POP4,0.917039,0.813463,-0.865251,-0.865251,683760,3.04847,0.000894396,3.318428064,1.7305
CLPTM1,0.962088,0.764308,-0.863198,-0.863198,1361300,2.48611,0.003265051,3.309010799,1.7264
ALDH2,0.8899,0.841817,-0.865859,-0.865859,358440,3.71516,0.000192681,3.321235444,1.73172
KRT18,-0.919915,-0.800371,0.730773,0.989512,329010000,2.16795,0.006792818,0.30348771,-1.72029
ATP5F1B,0.608123,1.08651,-0.764333,-0.930305,195560000,1.66554,0.021600311,3.236961037,1.69464
APRT,1.03555,0.647167,-0.625686,-1.05703,8514900,1.54544,0.028481313,3.21032643,1.68272
CTSB,0.829837,0.901473,-0.865655,-0.865655,996350,3.36882,0.00042774,3.320291715,1.73131
THBS1,0.996426,0.724954,-0.86069,-0.86069,1288200,2.21039,0.006160415,3.297516778,1.72138
ANXA6,-1.10234,-0.565727,0.642208,1.02585,9201600,1.43246,0.036943667,0.314676206,-1.66806
HMBS,0.898536,0.832893,-0.865714,-0.865714,1341500,3.44473,0.000359145,3.320567901,1.73143
CYC1,-1.15921,-0.510361,0.866683,0.802887,9586000,1.44281,0.036073643,0.314347022,-1.66957
SULT1A3;SULT1A4,1.08687,0.569465,-1.07587,-0.58046,11174000,1.35935,0.043716965,3.152136477,1.65633
GATD3,0.793172,0.891878,-1.12157,-0.563477,6096900,1.56645,0.027136261,3.215515402,1.68505
CLU,0.796264,0.902299,-1.08302,-0.615547,7139700,1.71367,0.019334369,3.245768263,1.69856
PRPS2,-0.739937,-0.983119,0.88899,0.834066,24469000,2.28458,0.00519302,0.302905567,-1.72306
BCKDHA,-0.858685,-0.858685,0.699561,1.01781,770370,2.07181,0.008475981,0.304102588,-1.71737
TRIM27,-0.862321,-0.862321,0.749163,0.975479,473330,2.36882,0.004277401,0.302574015,-1.72464
HSP90B1,-1.05517,-0.612434,1.07985,0.587759,114050000,1.42938,0.037206601,0.314774374,-1.66761
GSPT1,-1.01573,-0.70205,0.862625,0.855157,21466000,2.08416,0.008238345,0.304016177,-1.71778
NDUFV2,-0.953907,-0.723539,1.12125,0.5562,3620000,1.50133,0.031526082,0.312634739,-1.67745
COX5A,-0.863695,-0.863695,0.773909,0.953481,13213000,2.57012,0.002690791,0.301997812,-1.72739
RPL13,0.988666,0.716479,-0.68608,-1.01906,60888000,1.80871,0.01553424,3.260605725,1.70514
HMGB2,0.563972,1.10745,-1.00695,-0.664473,15163000,1.45591,0.035001769,3.185301643,1.67143
RPL10;RPL10L,-0.844956,-0.886778,0.876451,0.855282,27341000,3.73727,0.000183118,0.301090689,-1.73173
EPHA2,0.561281,1.12438,-0.842831,-0.842831,1156000,1.57215,0.026782431,3.216875273,1.68566
ATP5F1D,-0.854599,-0.854599,0.656302,1.0529,5554900,1.87962,0.013194107,0.30582961,-1.7092
ECHS1,1.08877,0.562296,-1.08573,-0.565333,34264000,1.33014,0.046758439,3.140643088,1.65106
CDA,-1.05644,-0.628085,1.03016,0.654365,22879000,1.56168,0.02743595,0.311104248,-1.68453
HPD,0.742358,0.981424,-0.861891,-0.861891,603370,2.32111,0.004774083,3.303006938,1.72378
RFC2,-0.565776,-1.1144,0.724987,0.955193,6362100,1.52364,0.02994746,0.312043702,-1.68018
PSMC2,-1.06859,-0.590621,1.08727,0.57195,25801000,1.37622,0.042051356,0.316610279,-1.65922
DLST,0.628663,1.05963,-0.675594,-1.01269,7773600,1.59746,0.025266204,3.222744912,1.68829
GPX4,-0.865813,-0.865813,0.838708,0.892919,881140,3.61096,0.000244929,0.30111156,-1.73163
NUP62,0.654705,1.03817,-1.0206,-0.672268,4294200,1.64549,0.022620906,3.23299214,1.69287
HPCAL1,0.911632,0.765467,-1.13575,-0.541349,3799000,1.49858,0.031726342,3.197844971,1.6771
HELZ,0.802259,0.927525,-0.864892,-0.864892,195950,2.88323,0.001308489,3.316772362,1.72978
SSR1,-0.846911,-0.876713,0.742068,0.981555,7117500,2.31289,0.004865304,0.302788014,-1.72362
RANGAP1,0.643288,1.00369,-1.15705,-0.489932,14238000,1.30877,0.049116793,3.131773769,1.64698
UQCRFS1;UQCRFS1P1,1.0581,0.643636,-0.755422,-0.94631,13705000,1.75685,0.017504512,3.252907955,1.70173
RFX5,0.638682,1.01073,-1.14892,-0.500493,721360,1.32138,0.047711163,3.13705321,1.64941
MARCKSL1,-0.849682,-0.849682,0.612868,1.0865,755610,1.72419,0.018871656,0.307922672,-1.69936
GNG10,0.873069,0.858954,-0.866011,-0.866011,810010,4.77982,1.66027E-05,3.321926148,1.73202
RAB7A,0.605819,1.0583,-1.08536,-0.57876,15798000,1.40651,0.039218412,3.16920284,1.66412
ALDH3A2,0.549732,1.11586,-0.651736,-1.01385,4983400,1.41599,0.038371608,3.17243367,1.66559
SLC25A1,-0.846214,-0.846214,0.585742,1.10668,1260200,1.64061,0.022876522,0.30940534,-1.69243
CLNS1A,-0.839728,-0.878985,1.00978,0.708934,5467800,2.11349,0.007700342,0.303820264,-1.71871
ATP1B3,-0.451446,-1.19623,0.761359,0.886318,9709300,1.31235,0.048713575,0.319152975,-1.64768
AK2,-0.874172,-0.796492,0.514501,1.15616,24692000,1.45048,0.035442145,0.314109613,-1.67066
PSMD4,-1.18827,-0.466162,0.794532,0.859899,17239000,1.34859,0.044813617,0.317663228,-1.65443
HADHB,-1.15773,-0.510877,0.891452,0.777158,15330000,1.43619,0.03662773,0.314556265,-1.66861
EEFSEC,1.03255,0.616065,-0.511786,-1.13683,1357500,1.31721,0.048171481,3.13531414,1.64861
PRPS1,0.922957,0.807157,-0.865057,-0.865057,2154000,2.95152,0.001118098,3.317531123,1.73011
TIMM10,-0.865215,-0.865215,0.812243,0.918187,1979400,3.02882,0.000935793,0.301362122,-1.73043
RPS29,0.678074,1.03544,-0.856759,-0.856759,1810100,1.97061,0.010700153,3.279600305,1.71352
LSM3,0.85098,0.880942,-0.865961,-0.865961,3725800,4.12602,7.48135E-05,3.321695897,1.73192
RPL23,-0.954583,-0.754627,1.02579,0.683418,86010000,1.87985,0.013187121,0.305827491,-1.70921
RPS21,-0.869312,-0.790137,0.481087,1.17836,18250000,1.37761,0.041916981,0.316559808,-1.65945
EIF5A;EIF5AL1,-1.03102,-0.683463,0.865864,0.848619,49329000,1.99385,0.010142616,0.304712376,-1.71448
NOP14,0.926078,0.793277,-0.727393,-0.991962,2876900,2.13492,0.007329595,3.292902967,1.71936
GTF2I,0.923339,0.784359,-0.661354,-1.04634,32110000,1.85202,0.014059828,3.266396666,1.7077
MRPS34,0.542198,1.11435,-1.04293,-0.613618,4484900,1.36062,0.043589311,3.15261719,1.65655
CBX1,1.02162,0.694957,-0.85829,-0.85829,1461800,2.04903,0.008932438,3.286563819,1.71658
SRSF3,0.938221,0.790685,-0.864453,-0.864453,9966900,2.74099,0.001815557,3.314772825,1.72891
HSF1,-0.863352,-0.863352,0.767201,0.959504,1052100,2.51053,0.003086526,0.302142283,-1.7267
PFKP,-0.779849,-0.907848,1.1117,0.575998,35915000,1.59163,0.025607666,0.310421416,-1.6877
ALDH6A1,1.04279,0.668978,-0.855882,-0.855882,2191200,1.93133,0.01171305,3.275601832,1.71176
PLOD1,-0.613555,-1.05712,0.600298,1.07037,16523000,1.45054,0.035437249,0.314107436,-1.67067
KDSR,0.943055,0.785405,-0.86423,-0.86423,1507700,2.68334,0.00207329,3.313739055,1.72846
GOLGA3,0.476092,1.18239,-0.829242,-0.829242,387610,1.37188,0.042473691,3.156837502,1.65848
SLFN5,0.782345,0.945843,-0.864094,-0.864094,771890,2.65167,0.002230129,3.313118948,1.72819
BPTF,0.746427,0.977874,-0.862151,-0.862151,541600,2.34931,0.004473938,3.304197677,1.7243
STX5,0.815338,0.91527,-0.865304,-0.865304,1824000,3.07959,0.000832549,3.318681091,1.73061
AAMP,-0.844051,-0.844051,0.569906,1.1182,391100,1.59561,0.025374062,0.310335361,-1.6881
CKAP5,0.990491,0.729042,-0.926952,-0.792581,7298800,2.14104,0.007227032,3.293291009,1.71953
FRG1,0.890078,0.841634,-0.865856,-0.865856,1235000,3.70867,0.000195583,3.321212423,1.73171
GNA13,0.777577,0.950169,-0.863873,-0.863873,1146800,2.6046,0.002485421,3.312108651,1.72775
MESD,-0.865904,-0.865904,0.845425,0.886384,2518500,3.85445,0.000139814,0.301073994,-1.73181
WTAP,0.864791,0.788547,-0.463649,-1.18969,1977100,1.34251,0.045445407,3.145610407,1.65334
SART3,-1.15308,-0.517653,0.777175,0.893557,9735800,1.45097,0.03540218,0.314094372,-1.67073
RAB3GAP1,1.14873,0.526504,-0.837618,-0.837618,798920,1.4841,0.032801976,3.193724794,1.67524
POLD3,0.760876,0.965142,-0.863009,-0.863009,1160800,2.45803,0.003483133,3.308139334,1.72602
ACAP2,-0.843605,-0.843605,0.56673,1.12048,633730,1.5869,0.025888089,0.310526867,-1.68721
PCBP1,-0.925435,-0.744909,0.524002,1.14634,83943000,1.44823,0.035626241,0.314179292,-1.67034
ELOC,-1.12974,-0.518091,1.04483,0.602998,17503000,1.31313,0.048626163,0.319119793,-1.64783
TSC22D1;TSC22D2,0.853557,0.878404,-0.865981,-0.865981,2101200,4.28861,5.14505E-05,3.321787996,1.73196
CCDC6,-0.86586,-0.86586,0.889794,0.841926,1252200,3.71906,0.000190959,0.301092776,-1.73172
UAP1,-0.743936,-0.907457,0.465466,1.18593,3105900,1.33191,0.046568259,0.318333303,-1.65139
